Indicator,Disaggregation combinations using this value
#10-b-1,6
#11-1-1,1
#11-5-1,2
#12-1-1,8
#12-2-1,8
#12-2-2,3
#12-4-3,1
#13-1-1,2
#13-1-2,1
#13-3-2,1
#14-7-1,1
#15-3-1,1
#15-4-1,1
#15-a-1,5
#15-b-1,1
#16-1-1,4
#16-5-1,8
#16-5-3,6
#16-5-5,7
#16-6-4,6
#16-6-5,8
#16-9-1,6
#17-1-2,7
#17-17-1,1
#17-18-1,1
#17-19-2,7
#17-3-1,6
#17-3-2,4
#17-4-1,14
#17-6-1,1
#17-6-2,2
#3-3-2,2
#3-3-4,8
#3-3-5,8
#3-3-6,8
#3-3-7,87
#3-7-1,6
#3-7-2,2
#3-8-1,3
#3-8-2,8
#3-8-3,2
#3-8-4,3
#3-a-1,2
#3-b-2,3
#3-c-1,7
#4-1-1,1
#7-1-2,1
#7-1-3,8
#7-1-4,8
#7-1-5,8
#8-1-1,4
#9-a-1,6
