Indicator,Disaggregation combinations using this value
#1-3-1,6
#1-3-2,6
#1-3-3,14
#1-4-1,3
#1-4-2,7
#1-4-3,6
#1-4-4,45
#1-4-5,3
#1-4-6,12
#1-4-7,10
#1-a-1,2
#1-a-2,2
#1-a-3,2
#1-b-1,7
#10-1-1,3
#10-2-1,1
#10-4-1,1
#11-4-1,4
#12-5-3,8
#12-6-1,1
#16-1-1,4
#16-1-3,5
#16-1-4,5
#16-2-3,1
#16-3-1,8
#16-3-2,9
#16-3-3,8
#16-3-4,8
#16-3-5,8
#16-3-6,8
#16-4-2,18
#16-5-2,7
#16-6-1,2
#16-a-1,5
#16-b-1,1
#17-1-1,24
#17-19-2,6
#17-8-1,5
#2-2-1,9
#2-2-2,7
#2-2-3,4
#3-1-2,10
#3-2-1,6
#3-3-3,8
#4-1-1,72
#4-1-2,51
#4-1-3,23
#4-1-4,66
#4-1-5,72
#4-2-1,5
#4-4-1,5
#4-4-3,15
#4-5-1,14
#4-a-1,48
#5-1-1,4
#5-1-2,8
#5-1-3,25
#5-5-1,10
#5-5-2,1
#5-6-1,8
#5-6-2,1
#5-b-1,5
#6-1-1,6
#6-1-2,10
#6-1-3,6
#6-2-1,6
#6-2-2,4
#6-b-1,1
#7-1-1,6
#8-2-1,1
#9-1-1,2
#9-c-1,12
