Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2014,IT_MOB_OWN,BI,F,_T,_T,_T,Percent,2014,12.5
2014,IT_MOB_OWN,BI,M,_T,_T,_T,Percent,2014,22.0
2010,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2010,18.4
2011,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2011,17.8
2012,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2012,20.9
2013,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2013,23.0
2014,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2014,29.7
2015,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2015,48.0
2016,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2016,49.9
2017,IT_MOB_OWN,BI,_T,_T,_T,_T,Percent,2017,50.1
2014,IT_MOB_OWN,BI,_T,_T,U,_T,Percent,2014,33.9
2014,IT_MOB_OWN,BI,_T,_T,R,_T,Percent,2014,8.7
