Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2015,D182_a,BI,_T,_T,_T,_T,Percent,1,550.0
2016,D182_a,BI,_T,_T,_T,_T,Percent,1,149.0
2017,D182_a,BI,_T,_T,_T,_T,Percent,1,78.0
2015,D182_b,BI,_T,_T,_T,_T,Percent,1,393.0
2016,D182_b,BI,_T,_T,_T,_T,Percent,1,215.0
2017,D182_b,BI,_T,_T,_T,_T,Percent,1,193.0
2015,D182_c,BI,_T,_T,_T,_T,Percent,1,26362.0
2016,D182_c,BI,_T,_T,_T,_T,Percent,1,17149.0
2017,D182_c,BI,_T,_T,_T,_T,Percent,1,6291.0
2017,D182_d,BI,_T,_T,_T,_T,Percent,1,5.0
2015,D182_e,BI,_T,_T,_T,_T,Percent,1,463.0
2016,D182_e,BI,_T,_T,_T,_T,Percent,1,172.0
2015,D182_f,BI,_T,_T,_T,_T,Percent,1,407.0
2016,D182_f,BI,_T,_T,_T,_T,Percent,1,337.0
2015,D182_g,BI,_T,_T,_T,_T,Percent,1,20409.0
2016,D182_g,BI,_T,_T,_T,_T,Percent,1,13995.0
2015,D182_h,BI,_T,_T,_T,_T,Percent,1,14.0
2016,D182_h,BI,_T,_T,_T,_T,Percent,1,22.0
