Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2014,IT_USE_ii99,BI,F,_T,_T,_T,Percent,2014,1.6
2014,IT_USE_ii99,BI,M,_T,_T,_T,Percent,2014,3.1
2014,IT_USE_ii99,BI,_T,_T,_T,_T,Percent,2014,2.3
2014,IT_USE_ii99,BI,_T,_T,U,_T,Percent,2014,6.8
2014,IT_USE_ii99,BI,_T,_T,R,_T,Percent,2014,0.1
2017,SP_LGL_LNDDOC,BI,F,_T,_T,_T,Percent,2017,2.7
2017,SP_LGL_LNDDOC,BI,M,_T,_T,_T,Percent,2017,7.5
2015,SP_LGL_LNDDOC,BI,M,_T,R,_T,Percent,2015,3.6
2014,SP_LGL_LNDDOC,BI,_T,_T,_T,_T,Percent,2014,5.4
2015,SP_LGL_LNDDOC,BI,_T,_T,U,_T,Percent,2015,21.6
