Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2012,D58,BI,_T,_T,_T,_T,Percent,1,0.48
2013,D58,BI,_T,_T,_T,_T,Percent,1,0.45
2014,D58,BI,_T,_T,_T,_T,Percent,1,0.3
2015,D58,BI,_T,_T,_T,_T,Percent,1,0.29
2016,D58,BI,_T,_T,_T,_T,Percent,1,0.37
2012,D59,BI,_T,_T,_T,_T,Percent,1,0.78
2013,D59,BI,_T,_T,_T,_T,Percent,1,0.66
2014,D59,BI,_T,_T,_T,_T,Percent,1,0.41
2015,D59,BI,_T,_T,_T,_T,Percent,1,0.4
2016,D59,BI,_T,_T,_T,_T,Percent,1,0.54
2012,D60,BI,_T,_T,_T,_T,Percent,1,0.2
2013,D60,BI,_T,_T,_T,_T,Percent,1,0.21
2014,D60,BI,_T,_T,_T,_T,Percent,1,0.19
2015,D60,BI,_T,_T,_T,_T,Percent,1,0.18
2016,D60,BI,_T,_T,_T,_T,Percent,1,0.2
