Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D197,BI,_T,_T,_T,_T,Percent,1,14.5
2011,D197,BI,_T,_T,_T,_T,Percent,1,16.7
2012,D197,BI,_T,_T,_T,_T,Percent,1,15.7
2013,D197,BI,_T,_T,_T,_T,Percent,1,14.7
2014,D197,BI,_T,_T,_T,_T,Percent,1,15.7
2015,D197,BI,_T,_T,_T,_T,Percent,1,13.4
2016,D197,BI,_T,_T,_T,_T,Percent,1,13.18
2017,D197,BI,_T,_T,_T,_T,Percent,1,13.23
2010,D198,BI,_T,_T,_T,_T,Percent,1,7.7
2011,D198,BI,_T,_T,_T,_T,Percent,1,8.2
2012,D198,BI,_T,_T,_T,_T,Percent,1,9.1
2013,D198,BI,_T,_T,_T,_T,Percent,1,9.4
2014,D198,BI,_T,_T,_T,_T,Percent,1,9.9
2015,D198,BI,_T,_T,_T,_T,Percent,1,8.0
2016,D198,BI,_T,_T,_T,_T,Percent,1,7.7
2017,D198,BI,_T,_T,_T,_T,Percent,1,7.64
2010,D199,BI,_T,_T,_T,_T,Percent,1,6.8
2011,D199,BI,_T,_T,_T,_T,Percent,1,8.5
2012,D199,BI,_T,_T,_T,_T,Percent,1,6.6
2013,D199,BI,_T,_T,_T,_T,Percent,1,5.3
2014,D199,BI,_T,_T,_T,_T,Percent,1,5.8
2015,D199,BI,_T,_T,_T,_T,Percent,1,5.4
2016,D199,BI,_T,_T,_T,_T,Percent,1,5.5
2017,D199,BI,_T,_T,_T,_T,Percent,1,5.59
