Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1994,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,-34.8
1995,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,9.9
1996,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,5.9
1997,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,4.0
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,4.7
1999,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,12.7
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,10.7
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,7.4
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,6.6
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,8.5
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,10.3
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,13.3
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,10.8
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,10.2
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,6.7
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,0.1
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,6.0
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,7.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,7.3
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,7.4
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_National Accounts, Bulletin",ប្រចាំឆ្នាំ,ជាតិ,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,ប្រទេសកម្ពុជា,ភាគរយ,2019,7.1
