Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,59.82
1997,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,58.6
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,61.15
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,60.0
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,59.09
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,57.99
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,57.6
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,57.07
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,49.48
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,48.82
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MAFF, Forestry Administration_Forestry Statistics",ប្រចាំឆ្នាំ,ជាតិ,១៥.១.១ ភាគរយនៃផ្ទៃដីគ្របដណ្តប់ដោយព្រៃឈើ ធៀបនឹងផ្ទៃដីសរុប,ប្រទេសកម្ពុជា,ភាគរយ,2018,48.16
