Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,8.6
1996,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,15.4
1997,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,16.7
1999,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,18.4
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,24.7
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,30.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,32.8
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,34.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,40.0
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,43.6
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,45.2
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,51.7
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,55.9
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,61.8
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,72.9
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,76.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,80.36
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,9.7
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,9.6
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,9.1
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,9.0
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,10.4
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,11.3
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,12.4
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,12.6
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,13.4
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,11.9
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ទឹកភ្ជាប់ភ្ជាប់ទៅនឹងលូទឹក,ភាគរយ,2019-2020,17.59
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,21.1
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,24.3
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,30.0
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,33.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,33.5
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,39.9
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,42.8
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,48.3
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,59.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,63.1
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់: ចាក់ FlushConnected To Septic Tank,ភាគរយ,2019-2020,61.89
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,2.0
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.8
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.9
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,1.5
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,1.2
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.5
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.7
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.9
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.5
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,1.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,2019-2020,0.88
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,ប្រទេសកម្ពុជា,ទីប្រជុំជន,,ភាគរយ,2019-2020,17.5
