Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2016,SH_STA_FGMS,ET,F,_T,_T,_T,_T,Percent,1,65.2
2000,SH_STA_FGMS,ET,F,Y15T49,_T,_T,_T,Percent,1,79.9
2005,SH_STA_FGMS,ET,F,Y15T49,_T,_T,_T,Percent,1,74.3
2016,SH_STA_FGMS,ET01,F,_T,_T,_T,_T,Percent,1,24.2
2016,SH_STA_FGMS,ET02,F,_T,_T,_T,_T,Percent,1,91.2
2016,SH_STA_FGMS,ET03,F,_T,_T,_T,_T,Percent,1,61.7
2016,SH_STA_FGMS,ET04,F,_T,_T,_T,_T,Percent,1,75.6
2016,SH_STA_FGMS,ET05,F,_T,_T,_T,_T,Percent,1,98.5
2016,SH_STA_FGMS,ET06,F,_T,_T,_T,_T,Percent,1,62.9
2016,SH_STA_FGMS,ET07,F,_T,_T,_T,_T,Percent,1,62.0
2016,SH_STA_FGMS,ET12,F,_T,_T,_T,_T,Percent,1,33.0
2016,SH_STA_FGMS,ET13,F,_T,_T,_T,_T,Percent,1,81.7
2016,SH_STA_FGMS,ET14,F,_T,_T,_T,_T,Percent,1,54.0
2016,SH_STA_FGMS,ET15,F,_T,_T,_T,_T,Percent,1,75.3
