Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,TIME_DETAIL,Value
2016,SL_ISV_IFEM,ET,F,_T,U,_T,_T,Percent,2016,35.6
2016,SL_ISV_IFEM,ET,M,_T,U,_T,_T,Percent,2016,19.8
2016,SL_ISV_IFEM,ET01,F,_T,U,_T,_T,Percent,2016,33.0
2016,SL_ISV_IFEM,ET01,M,_T,U,_T,_T,Percent,2016,16.1
2016,SL_ISV_IFEM,ET02,F,_T,U,_T,_T,Percent,2016,45.1
2016,SL_ISV_IFEM,ET02,M,_T,U,_T,_T,Percent,2016,25.9
2016,SL_ISV_IFEM,ET03,F,_T,U,_T,_T,Percent,2016,35.8
2016,SL_ISV_IFEM,ET03,M,_T,U,_T,_T,Percent,2016,17.2
2016,SL_ISV_IFEM,ET04,F,_T,U,_T,_T,Percent,2016,42.0
2016,SL_ISV_IFEM,ET04,M,_T,U,_T,_T,Percent,2016,24.7
2016,SL_ISV_IFEM,ET05,F,_T,U,_T,_T,Percent,2016,48.9
2016,SL_ISV_IFEM,ET05,M,_T,U,_T,_T,Percent,2016,29.5
2016,SL_ISV_IFEM,ET06,F,_T,U,_T,_T,Percent,2016,44.8
2016,SL_ISV_IFEM,ET06,M,_T,U,_T,_T,Percent,2016,22.2
2016,SL_ISV_IFEM,ET07,F,_T,U,_T,_T,Percent,2016,45.1
2016,SL_ISV_IFEM,ET07,M,_T,U,_T,_T,Percent,2016,24.7
2016,SL_ISV_IFEM,ET12,F,_T,U,_T,_T,Percent,2016,52.2
2016,SL_ISV_IFEM,ET12,M,_T,U,_T,_T,Percent,2016,16.9
2016,SL_ISV_IFEM,ET13,F,_T,U,_T,_T,Percent,2016,43.9
2016,SL_ISV_IFEM,ET13,M,_T,U,_T,_T,Percent,2016,20.3
2016,SL_ISV_IFEM,ET14,F,_T,U,_T,_T,Percent,2016,12.0
2016,SL_ISV_IFEM,ET14,M,_T,U,_T,_T,Percent,2016,9.5
2016,SL_ISV_IFEM,ET15,F,_T,U,_T,_T,Percent,2016,42.0
2016,SL_ISV_IFEM,ET15,M,_T,U,_T,_T,Percent,2016,18.5
