Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2016,SL_ISV_IFEM,ET,F,_T,U,_T,_T,Percent,1,35.6
2016,SL_ISV_IFEM,ET,M,_T,U,_T,_T,Percent,1,19.8
2016,SL_ISV_IFEM,ET01,F,_T,U,_T,_T,Percent,1,33.0
2016,SL_ISV_IFEM,ET01,M,_T,U,_T,_T,Percent,1,16.1
2016,SL_ISV_IFEM,ET02,F,_T,U,_T,_T,Percent,1,45.1
2016,SL_ISV_IFEM,ET02,M,_T,U,_T,_T,Percent,1,25.9
2016,SL_ISV_IFEM,ET03,F,_T,U,_T,_T,Percent,1,35.8
2016,SL_ISV_IFEM,ET03,M,_T,U,_T,_T,Percent,1,17.2
2016,SL_ISV_IFEM,ET04,F,_T,U,_T,_T,Percent,1,42.0
2016,SL_ISV_IFEM,ET04,M,_T,U,_T,_T,Percent,1,24.7
2016,SL_ISV_IFEM,ET05,F,_T,U,_T,_T,Percent,1,48.9
2016,SL_ISV_IFEM,ET05,M,_T,U,_T,_T,Percent,1,29.5
2016,SL_ISV_IFEM,ET06,F,_T,U,_T,_T,Percent,1,44.8
2016,SL_ISV_IFEM,ET06,M,_T,U,_T,_T,Percent,1,22.2
2016,SL_ISV_IFEM,ET07,F,_T,U,_T,_T,Percent,1,45.1
2016,SL_ISV_IFEM,ET07,M,_T,U,_T,_T,Percent,1,24.7
2016,SL_ISV_IFEM,ET12,F,_T,U,_T,_T,Percent,1,52.2
2016,SL_ISV_IFEM,ET12,M,_T,U,_T,_T,Percent,1,16.9
2016,SL_ISV_IFEM,ET13,F,_T,U,_T,_T,Percent,1,43.9
2016,SL_ISV_IFEM,ET13,M,_T,U,_T,_T,Percent,1,20.3
2016,SL_ISV_IFEM,ET14,F,_T,U,_T,_T,Percent,1,12.0
2016,SL_ISV_IFEM,ET14,M,_T,U,_T,_T,Percent,1,9.5
2016,SL_ISV_IFEM,ET15,F,_T,U,_T,_T,Percent,1,42.0
2016,SL_ISV_IFEM,ET15,M,_T,U,_T,_T,Percent,1,18.5
