Year,Types of violence,AGE,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2007,Emotional violence,Y15T49,2007,NUMBER,VC_VAW_MARR,14.0
2007,Emotional violence,Y15T24,2007,NUMBER,VC_VAW_MARR,11.1
2007,Emotional violence,Y25T34,2007,NUMBER,VC_VAW_MARR,14.3
2007,Emotional violence,Y35T49,2007,NUMBER,VC_VAW_MARR,14.6
2012,Emotional violence,Y15T49,2012,NUMBER,VC_VAW_MARR,17.4
2012,Emotional violence,Y15T24,2012,NUMBER,VC_VAW_MARR,15.1
2012,Emotional violence,Y25T34,2012,NUMBER,VC_VAW_MARR,18.7
2012,Emotional violence,Y35T49,2012,NUMBER,VC_VAW_MARR,17.1
2017,Emotional violence,Y15T49,2017-18,NUMBER,VC_VAW_MARR,16.1
2017,Emotional violence,Y15T24,2017-18,NUMBER,VC_VAW_MARR,16.0
2017,Emotional violence,Y25T34,2017-18,NUMBER,VC_VAW_MARR,14.6
2017,Emotional violence,Y35T49,2017-18,NUMBER,VC_VAW_MARR,17.2
2007,Physical violence,Y15T49,2007,NUMBER,VC_VAW_MARR,12.2
2007,Physical violence,Y15T24,2007,NUMBER,VC_VAW_MARR,13.2
2007,Physical violence,Y25T34,2007,NUMBER,VC_VAW_MARR,14.0
2007,Physical violence,Y35T49,2007,NUMBER,VC_VAW_MARR,10.4
2012,Physical violence,Y15T49,2012,NUMBER,VC_VAW_MARR,11.2
2012,Physical violence,Y15T24,2012,NUMBER,VC_VAW_MARR,11.9
2012,Physical violence,Y25T34,2012,NUMBER,VC_VAW_MARR,13.6
2012,Physical violence,Y35T49,2012,NUMBER,VC_VAW_MARR,9.3
2017,Physical violence,Y15T49,2017-18,NUMBER,VC_VAW_MARR,12.7
2017,Physical violence,Y15T24,2017-18,NUMBER,VC_VAW_MARR,11.5
2017,Physical violence,Y25T34,2017-18,NUMBER,VC_VAW_MARR,13.4
2017,Physical violence,Y35T49,2017-18,NUMBER,VC_VAW_MARR,12.5
2007,Sexual violence,Y15T49,2007,NUMBER,VC_VAW_MARR,5.6
2007,Sexual violence,Y15T24,2007,NUMBER,VC_VAW_MARR,6.2
2007,Sexual violence,Y25T34,2007,NUMBER,VC_VAW_MARR,6.9
2007,Sexual violence,Y35T49,2007,NUMBER,VC_VAW_MARR,4.3
2012,Sexual violence,Y15T49,2012,NUMBER,VC_VAW_MARR,6.0
2012,Sexual violence,Y15T24,2012,NUMBER,VC_VAW_MARR,5.8
2012,Sexual violence,Y25T34,2012,NUMBER,VC_VAW_MARR,6.3
2012,Sexual violence,Y35T49,2012,NUMBER,VC_VAW_MARR,5.8
2017,Sexual violence,Y15T49,2017-18,NUMBER,VC_VAW_MARR,3.3
2017,Sexual violence,Y15T24,2017-18,NUMBER,VC_VAW_MARR,2.4
2017,Sexual violence,Y25T34,2017-18,NUMBER,VC_VAW_MARR,3.0
2017,Sexual violence,Y35T49,2017-18,NUMBER,VC_VAW_MARR,3.8
2007,Physical or sexual or emotional violence,Y15T49,2007,NUMBER,VC_VAW_MARR,20.2
2007,Physical or sexual or emotional violence,Y15T24,2007,NUMBER,VC_VAW_MARR,18.3
2007,Physical or sexual or emotional violence,Y25T34,2007,NUMBER,VC_VAW_MARR,21.5
2007,Physical or sexual or emotional violence,Y35T49,2007,NUMBER,VC_VAW_MARR,19.7
2012,Physical or sexual or emotional violence,Y15T49,2012,NUMBER,VC_VAW_MARR,22.0
2012,Physical or sexual or emotional violence,Y15T24,2012,NUMBER,VC_VAW_MARR,20.1
2012,Physical or sexual or emotional violence,Y25T34,2012,NUMBER,VC_VAW_MARR,24.4
2012,Physical or sexual or emotional violence,Y35T49,2012,NUMBER,VC_VAW_MARR,20.8
2017,Physical or sexual or emotional violence,Y15T49,2017-18,NUMBER,VC_VAW_MARR,20.4
2017,Physical or sexual or emotional violence,Y15T24,2017-18,NUMBER,VC_VAW_MARR,18.4
2017,Physical or sexual or emotional violence,Y25T34,2017-18,NUMBER,VC_VAW_MARR,19.8
2017,Physical or sexual or emotional violence,Y35T49,2017-18,NUMBER,VC_VAW_MARR,21.3
