Year,Sub-indicators,TIME_DETAIL,Value
2017,Direct economic loss attributed to disasters (current United States dollars),2017,1418393.0787
2017,Direct economic loss attributed to disasters relative to GDP (%),2017,4e-05
2017,Direct agriculture loss attributed to disasters (current United States dollars),2017,38593.0787
2017,Direct economic loss in the housing sector attributed to disasters (current United States dollars),2017,1377000.0
2017,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2017,0.0
2017,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2017,2800.0
2017,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),2017,0.0
2016,Direct economic loss attributed to disasters (current United States dollars),2016,1060537.6704
2016,Direct economic loss attributed to disasters relative to GDP (%),2016,3e-05
2016,Direct agriculture loss attributed to disasters (current United States dollars),2016,971812.6704
2016,Direct economic loss in the housing sector attributed to disasters (current United States dollars),2016,88725.0
2016,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2016,0.0
2016,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2016,0.0
2016,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),2016,0.0
2011,Direct economic loss attributed to disasters (current United States dollars),2011,125777090.8416
2011,Direct economic loss attributed to disasters relative to GDP (%),2011,0.00436
2011,Direct agriculture loss attributed to disasters (current United States dollars),2011,125777090.8416
2011,Direct economic loss in the housing sector attributed to disasters (current United States dollars),2011,0.0
2011,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2011,0.0
2011,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2011,0.0
2011,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),2011,0.0
2010,Direct economic loss attributed to disasters (current United States dollars),2010,13200338.8954
2010,Direct economic loss attributed to disasters relative to GDP (%),2010,0.0005
2010,Direct agriculture loss attributed to disasters (current United States dollars),2010,13087514.363
2010,Direct economic loss in the housing sector attributed to disasters (current United States dollars),2010,112725.0
2010,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2010,99.5324
2010,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2010,0.0
2010,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),2010,0.0
2009,Direct economic loss attributed to disasters (current United States dollars),2009,2608507.1252
2009,Direct economic loss attributed to disasters relative to GDP (%),2009,0.00011
2009,Direct agriculture loss attributed to disasters (current United States dollars),2009,79312.1252
2009,Direct economic loss in the housing sector attributed to disasters (current United States dollars),2009,80925.0
2009,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),2009,2448270.0
2009,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),2009,0.0
2009,Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars),2009,0.0
