Year,AGE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
1990,Y0T14,1990,SP_DYN_MRBF15,,2.1
1990, before age 18,1990,SP_DYN_MRBF15,,16.4
1997,Y0T14,1997,SP_DYN_MRBF15,,0.9
1997, before age 18,1997,SP_DYN_MRBF15,,13.5
2002,Y0T14,2002,SP_DYN_MRBF15,,0.9
2002, before age 18,2002,SP_DYN_MRBF15,,11.1
2007,Y0T14,2007,SP_DYN_MRBF15,,1.1
2007, before age 18,2007,SP_DYN_MRBF15,,9.6
2012,Y0T14,2012,SP_DYN_MRBF15,,0.3
2012, before age 18,2012,SP_DYN_MRBF15,,8.4
2017,Y0T14,2017-18,SP_DYN_MRBF15,,1.5
2017, before age 18,2017-18,SP_DYN_MRBF15,,9.7
