Year,REF_AREA,TIME_DETAIL,SERIES,Value
2015,Amman,2015,SL_TLF_MANF,12.3
2016,Amman,2016,SL_TLF_MANF,12.1
2017,Amman,2017,SL_TLF_MANF,12.8
2018,Amman,2018,SL_TLF_MANF,10.4
2015,Balqa,2015,SL_TLF_MANF,7.0
2016,Balqa,2016,SL_TLF_MANF,7.4
2017,Balqa,2017,SL_TLF_MANF,7.0
2018,Balqa,2018,SL_TLF_MANF,6.9
2015,Zarqa,2015,SL_TLF_MANF,19.4
2016,Zarqa,2016,SL_TLF_MANF,17.6
2017,Zarqa,2017,SL_TLF_MANF,17.3
2018,Zarqa,2018,SL_TLF_MANF,16.2
2015,Madaba,2015,SL_TLF_MANF,6.4
2016,Madaba,2016,SL_TLF_MANF,7.7
2017,Madaba,2017,SL_TLF_MANF,8.5
2018,Madaba,2018,SL_TLF_MANF,6.8
2015,Irbid,2015,SL_TLF_MANF,7.2
2016,Irbid,2016,SL_TLF_MANF,6.6
2017,Irbid,2017,SL_TLF_MANF,6.8
2018,Irbid,2018,SL_TLF_MANF,8.0
2015,Mafraq,2015,SL_TLF_MANF,3.9
2016,Mafraq,2016,SL_TLF_MANF,4.5
2017,Mafraq,2017,SL_TLF_MANF,7.1
2018,Mafraq,2018,SL_TLF_MANF,6.1
2015,Jarash,2015,SL_TLF_MANF,5.0
2016,Jarash,2016,SL_TLF_MANF,3.8
2017,Jarash,2017,SL_TLF_MANF,6.2
2018,Jarash,2018,SL_TLF_MANF,5.3
2015,Ajloun,2015,SL_TLF_MANF,2.9
2016,Ajloun,2016,SL_TLF_MANF,4.0
2017,Ajloun,2017,SL_TLF_MANF,4.9
2018,Ajloun,2018,SL_TLF_MANF,4.9
2015,Karak,2015,SL_TLF_MANF,3.8
2016,Karak,2016,SL_TLF_MANF,3.5
2017,Karak,2017,SL_TLF_MANF,6.0
2018,Karak,2018,SL_TLF_MANF,5.1
2015,Tafiela,2015,SL_TLF_MANF,4.4
2016,Tafiela,2016,SL_TLF_MANF,5.2
2017,Tafiela,2017,SL_TLF_MANF,7.5
2018,Tafiela,2018,SL_TLF_MANF,7.1
2015,Ma'an,2015,SL_TLF_MANF,5.2
2016,Ma'an,2016,SL_TLF_MANF,2.5
2017,Ma'an,2017,SL_TLF_MANF,2.8
2018,Ma'an,2018,SL_TLF_MANF,2.8
2015,Aqaba,2015,SL_TLF_MANF,4.7
2016,Aqaba,2016,SL_TLF_MANF,4.5
2017,Aqaba,2017,SL_TLF_MANF,9.2
2018,Aqaba,2018,SL_TLF_MANF,7.6
2015,JO,2015,SL_TLF_MANF,10.0
2016,JO,2016,SL_TLF_MANF,9.7
2017,JO,2017,SL_TLF_MANF,10.9
2018,JO,2018,SL_TLF_MANF,9.6
