Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,,ເປີເຊັນ,33.1
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,,ເປີເຊັນ,22.0
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,ຕົວເມືອງ,ເປີເຊັນ,42.5
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,ຕົວເມືອງ,ເປີເຊັນ,22.0
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,ຊົນນະບົດ,ເປີເຊັນ,9.9
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,,,ຊົນນະບົດ,ເປີເຊັນ,28.9
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,ຜູ້ຊາຍ,,,ເປີເຊັນ,33.2
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,ຜູ້ຊາຍ,,,ເປີເຊັນ,22.0
2013,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,ຜູ້ຍິງ,,,ເປີເຊັນ,33.0
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",ປະຈໍາປີ,ແຫ່ງຊາດ,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],Lao People's Democratic Republic,ຜູ້ຍິງ,,,ເປີເຊັນ,21.8
