Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2011,G,2,2.2,2.2.1,SH_STA_STNT,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,42.6
2011,G,2,2.2,2.2.1,SH_STA_STNT,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,35.0
2011,G,2,2.2,2.2.1,SH_STA_STNT,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,45.5
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,46.8
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,52.8
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,55.3
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,45.2
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,44.2
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,41.9
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,35.7
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,36.0
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,26.8
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,22.7
2011,G,2,2.2,2.2.1,SH_STA_STNT,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,23.2
