Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,4,4.1,4.1.MZ_5,D20,508,F,_T,_T,_T,_T,_T,_T,_T,Percent,1,81.8
2016,N,4,4.1,4.1.MZ_5,D20,508,F,_T,_T,_T,_T,_T,_T,_T,Percent,1,85.4
2017,N,4,4.1,4.1.MZ_5,D20,508,F,_T,_T,_T,_T,_T,_T,_T,Percent,1,83.9
2018,N,4,4.1,4.1.MZ_5,D20,508,F,_T,_T,_T,_T,_T,_T,_T,Percent,1,92.5
2015,N,4,4.1,4.1.MZ_5,D20,508,M,_T,_T,_T,_T,_T,_T,_T,Percent,1,85.9
2016,N,4,4.1,4.1.MZ_5,D20,508,M,_T,_T,_T,_T,_T,_T,_T,Percent,1,87.5
2017,N,4,4.1,4.1.MZ_5,D20,508,M,_T,_T,_T,_T,_T,_T,_T,Percent,1,84.9
2018,N,4,4.1,4.1.MZ_5,D20,508,M,_T,_T,_T,_T,_T,_T,_T,Percent,1,93.7
2015,N,4,4.1,4.1.MZ_5,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,83.9
2016,N,4,4.1,4.1.MZ_5,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,86.4
2017,N,4,4.1,4.1.MZ_5,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,84.4
2018,N,4,4.1,4.1.MZ_5,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,93.1
2015,N,4,4.1,4.1.MZ_5,D20,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,80.0
2016,N,4,4.1,4.1.MZ_5,D20,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,78.3
2017,N,4,4.1,4.1.MZ_5,D20,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,72.4
2018,N,4,4.1,4.1.MZ_5,D20,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,79.1
2015,N,4,4.1,4.1.MZ_5,D20,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,79.7
2016,N,4,4.1,4.1.MZ_5,D20,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,82.6
2017,N,4,4.1,4.1.MZ_5,D20,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,72.3
2018,N,4,4.1,4.1.MZ_5,D20,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,78.7
2015,N,4,4.1,4.1.MZ_5,D20,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,62.0
2016,N,4,4.1,4.1.MZ_5,D20,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,65.3
2017,N,4,4.1,4.1.MZ_5,D20,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,69.0
2018,N,4,4.1,4.1.MZ_5,D20,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,74.5
2015,N,4,4.1,4.1.MZ_5,D20,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,105.7
