Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2011,G,5,5.2,5.2.1,D3,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,51.8
2011,G,5,5.2,5.2.1,D3,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,42.7
2011,G,5,5.2,5.2.1,D3,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,Percent,1,36.7
2011,G,5,5.2,5.2.1,D3,508,_T,Y15T49,_T,_T,_T,_T,_T,_T,Percent,1,45.5
2011,G,5,5.2,5.2.1,D3,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,Percent,1,47.8
2011,G,5,5.2,5.2.1,D3,508,_T,Y25T29,_T,_T,_T,_T,_T,_T,Percent,1,47.6
2011,G,5,5.2,5.2.1,D3,508,_T,Y30T39,_T,_T,_T,_T,_T,_T,Percent,1,48.3
2011,G,5,5.2,5.2.1,D3,508,_T,Y40T49,_T,_T,_T,_T,_T,_T,Percent,1,41.3
2011,G,5,5.2,5.2.1,D3,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,30.7
2011,G,5,5.2,5.2.1,D3,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,34.6
2011,G,5,5.2,5.2.1,D3,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,53.3
2011,G,5,5.2,5.2.1,D3,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,36.5
2011,G,5,5.2,5.2.1,D3,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,35.1
2011,G,5,5.2,5.2.1,D3,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,62.5
2011,G,5,5.2,5.2.1,D3,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,56.4
2011,G,5,5.2,5.2.1,D3,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,55.8
2011,G,5,5.2,5.2.1,D3,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,44.9
2011,G,5,5.2,5.2.1,D3,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,46.8
2011,G,5,5.2,5.2.1,D3,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,54.4
2011,G,5,5.2,5.2.1,D2,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,37.8
