Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,G,2,2.5,2.5.1,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,10839.0
2016,G,2,2.5,2.5.1,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,15239.0
2017,G,2,2.5,2.5.1,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,14125.0
2018,G,2,2.5,2.5.1,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,13699.0
2015,G,2,2.5,2.5.1,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,2939.0
2016,G,2,2.5,2.5.1,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,2989.0
2017,G,2,2.5,2.5.1,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,3075.0
2018,G,2,2.5,2.5.1,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,3399.0
2015,G,2,2.5,2.5.1,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,7900.0
2016,G,2,2.5,2.5.1,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,12250.0
2017,G,2,2.5,2.5.1,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,11050.0
2018,G,2,2.5,2.5.1,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,10300.0
