Value,Disaggregation combinations using this value,Number of indicators
1.1,30,1
1.2,74,2
1.3,1,1
1.5,2,2
1.a,5,2
10.2,18,1
10.4,1,1
11.5,1,1
14.5,1,1
16.3,4,4
16.4,5,1
16.9,23,1
17.1,8,2
17.13,4,1
17.3,2,2
17.8,9,1
2.1,3,2
2.2,42,2
2.4,1,1
2.5,4,2
2.a,1,1
3.1,15,2
3.2,3,3
3.3,2,2
3.4,2,1
3.7,16,2
3.a,1,1
3.b,1,1
3.c,5,1
4.1,114,5
4.3,5,5
4.4,1,1
4.5,24,1
4.6,2,2
4.a,24,2
4.c,10,2
5.2,134,2
5.3,2,1
5.5,1,1
5.b,16,1
6.1,14,1
6.2,14,1
6.3,1,1
6.4,1,1
6.5,1,1
6.b,1,1
7.1,14,1
8.1,6,3
8.5,72,1
8.6,3,1
8.8,4,2
8.9,1,1
9.1,11,1
9.2,2,2
9.5,2,2
