Value,Disaggregation combinations using this value,Number of indicators
BX_TRF_PWKR,1,1
D1,19,1
D10,4,1
D11,2,1
D12,1,1
D13,2,1
D14,1,1
D15,1,1
D16,1,1
D17,24,1
D18,28,1
D19,42,1
D2,19,1
D20,14,1
D21,2,2
D22,1,1
D23,1,1
D24,1,1
D25,1,1
D26,1,1
D27,12,1
D28,12,1
D29,1,1
D3,19,1
D30,1,1
D31,3,1
D32,1,1
D33,1,1
D35,1,1
D36,1,1
D37,1,1
D38,5,1
D39,1,1
D41,1,1
D42,6,1
D9,1,1
EG_ACS_ELEC,14,1
ER_GRF_ANIMRCNTN,1,1
ER_GRF_PLNTSTOR,1,1
ER_H2O_IWRMD,1,1
ER_H2O_WUEYST,1,1
ER_MRN_MARIN,1,1
ER_RSK_LBREDS,1,1
ER_WAT_PROCED,1,1
FB_ATM_TOTL,1,1
FB_CBK_BRCH,3,1
GB_POP_SCIERD,1,1
GB_XPD_RSDV,1,1
GC_GOB_TAXD,1,1
GR_G14_GDP,7,1
IS_RDP_FRGVOL,6,1
IS_RDP_PFVOL,5,1
IT_MOB_OWN,16,1
IT_USE_II99,9,1
NV_IND_MANF,1,1
NY_GDP_PCAP,1,1
SD_MDP_MUHC,30,1
SD_XPD_ESED,3,1
SE_ADT_ACTS,1,1
SE_GPI_PART,24,1
SE_TRA_GRDL,9,1
SG_GEN_PARLN,1,1
SG_REG_BRTH,23,1
SH_DTH_NCOM,2,1
SH_DYN_MORT,1,1
SH_DYN_NMRT,1,1
SH_FPL_MTMM,14,1
SH_H2O_SAFE,14,1
SH_HIV_INCD,1,1
SH_MED_HEAWOR,5,1
SH_PRV_SMOK,1,1
SH_SAN_SAFE,14,1
SH_STA_BRTC,14,1
SH_STA_MALR,1,1
SH_STA_MORT,1,1
SH_STA_STNT,14,1
SH_STA_WAST,14,1
SI_COV_BENFTS,1,1
SI_POV_50MI,18,1
SI_POV_DAY1,30,1
SI_POV_NAHC,44,1
SL_EMP_GTOTL,1,1
SL_TLF_MANF,1,1
SL_TLF_NEET,3,1
SL_TLF_UEM,72,1
SN_STA_OVWGT,14,1
SP_DYN_ADKL,2,1
SP_DYN_MRBF15,1,1
SP_DYN_MRBF18,1,1
ST_GDP_ZS,1,1
VC_DSR_CILN,1,1
VC_DSR_LSGP,1,1
VC_DSR_MTMP,1,1
VC_PRS_UNSEC,1,1
VC_VAW_MARR,19,1
VC_VAW_NONMARR,1,1
VC_VAW_PHYV,19,1
VC_VAW_PSYV,19,1
VC_VAW_SEXV,19,1
