Indicator,Disaggregations,Number of disaggregations
#1-1-2,"SEX, AREA, TIME_DETAIL",3
#1-2-2,"AREA, TIME_DETAIL",2
#1-5-1,TIME_DETAIL,1
#1-5-2,TIME_DETAIL,1
#1-5-3,TIME_DETAIL,1
#1-5-4,TIME_DETAIL,1
#1-a-2,TIME_DETAIL,1
#10-1-1,TIME_DETAIL,1
#10-3-1,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#10-6-1,TIME_DETAIL,1
#10-c-1,TIME_DETAIL,1
#11-5-1,TIME_DETAIL,1
#11-b-1,TIME_DETAIL,1
#11-b-2,TIME_DETAIL,1
#12-1-1,TIME_DETAIL,1
#12-4-1,TIME_DETAIL,1
#15-1-1,"AREA, TIME_DETAIL",2
#15-1-2,TIME_DETAIL,1
#15-4-1,TIME_DETAIL,1
#15-4-2,TIME_DETAIL,1
#15-5-1,TIME_DETAIL,1
#15-a-1,TIME_DETAIL,1
#16-1-1,"AREA, TIME_DETAIL",2
#16-1-3,"AREA, TIME_DETAIL",2
#16-1-4,"SEX, AREA, TIME_DETAIL",3
#16-10-1,"AREA, TIME_DETAIL",2
#16-10-2,TIME_DETAIL,1
#16-2-1,"SEX, AREA, TIME_DETAIL",3
#16-2-3,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#16-3-1,"AREA, TIME_DETAIL",2
#16-3-2,"SEX, AREA, TIME_DETAIL",3
#16-5-1,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#16-5-2,TIME_DETAIL,1
#16-6-1,"AREA, TIME_DETAIL",2
#16-6-2,"SEX, AREA, TIME_DETAIL",3
#16-7-2,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#16-8-1,TIME_DETAIL,1
#16-9-1,"SEX, AREA, TIME_DETAIL",3
#16-a-1,TIME_DETAIL,1
#16-b-1,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#17-1-1,TIME_DETAIL,1
#17-1-2,TIME_DETAIL,1
#17-18-2,TIME_DETAIL,1
#17-18-3,TIME_DETAIL,1
#17-19-2,"AREA, TIME_DETAIL",2
#17-3-1,"SEX, AREA, TIME_DETAIL",3
#17-3-2,TIME_DETAIL,1
#17-6-2,TIME_DETAIL,1
#17-8-1,"SEX, AREA, TIME_DETAIL",3
#2-1-2,TIME_DETAIL,1
#2-2-1,"SEX, AREA, TIME_DETAIL",3
#2-2-2,"SEX, AREA, TIME_DETAIL",3
#2-a-1,"SEX, AREA, TIME_DETAIL",3
#2-c-1,TIME_DETAIL,1
#3-1-1,"SEX, AREA, TIME_DETAIL",3
#3-1-2,"AREA, TIME_DETAIL",2
#3-2-1,"SEX, AREA, TIME_DETAIL",3
#3-2-2,"SEX, AREA, TIME_DETAIL",3
#3-3-1,"AREA, TIME_DETAIL",2
#3-3-2,"AREA, TIME_DETAIL",2
#3-3-3,"AREA, TIME_DETAIL",2
#3-3-4,"AREA, TIME_DETAIL",2
#3-4-1,"AREA, TIME_DETAIL",2
#3-4-2,"SEX, TIME_DETAIL",2
#3-6-1,"SEX, AREA, TIME_DETAIL",3
#3-7-1,"SEX, AREA, TIME_DETAIL",3
#3-7-2,"SEX, AREA, TIME_DETAIL",3
#3-8-2,TIME_DETAIL,1
#3-a-1,"SEX, AREA, TIME_DETAIL",3
#3-b-1,"SEX, AREA, TIME_DETAIL, URBANISATION",4
#3-b-2,TIME_DETAIL,1
#3-c-1,TIME_DETAIL,1
#4-1-1,"SEX, AREA, TIME_DETAIL",3
#4-2-1,"SEX, AREA, TIME_DETAIL",3
#4-2-2,TIME_DETAIL,1
#4-3-1,"SEX, TIME_DETAIL, AGE",3
#4-a-1,"SEX, AREA, TIME_DETAIL, EDUCATION",4
#5-2-1,"SEX, AREA, TIME_DETAIL",3
#5-2-2,"AREA, TIME_DETAIL",2
#5-3-1,"SEX, AREA, TIME_DETAIL",3
#5-4-1,"SEX, TIME_DETAIL",2
#5-5-1,"SEX, AREA, TIME_DETAIL",3
#5-5-2,"SEX, AREA, TIME_DETAIL",3
#5-b-1,"SEX, AREA, TIME_DETAIL",3
#6-1-1,"AREA, TIME_DETAIL, URBANISATION",3
#6-2-1,"AREA, TIME_DETAIL, URBANISATION",3
#6-a-1,TIME_DETAIL,1
#7-1-1,"AREA, TIME_DETAIL, URBANISATION",3
#7-1-2,"AREA, TIME_DETAIL",2
#7-2-1,TIME_DETAIL,1
#7-3-1,TIME_DETAIL,1
#8-1-1,"AREA, TIME_DETAIL",2
#8-10-1,TIME_DETAIL,1
#8-10-2,"SEX, AREA, TIME_DETAIL",3
#8-2-1,"AREA, TIME_DETAIL",2
#8-3-1,"SEX, AREA, TIME_DETAIL",3
#8-5-1,"SEX, AREA, TIME_DETAIL, OCCUPATION",4
#8-5-2,"SEX, AREA, TIME_DETAIL",3
#8-6-1,"SEX, AREA, TIME_DETAIL",3
#8-7-1,"SEX, AREA, TIME_DETAIL, AGE",4
#8-9-1,"AREA, TIME_DETAIL",2
#8-a-1,TIME_DETAIL,1
#9-2-1,"AREA, TIME_DETAIL",2
#9-2-2,"SEX, AREA, TIME_DETAIL",3
#9-3-1,"AREA, TIME_DETAIL",2
#9-3-2,TIME_DETAIL,1
#9-4-1,TIME_DETAIL,1
#9-5-1,TIME_DETAIL,1
#9-5-2,TIME_DETAIL,1
#9-b-1,"AREA, TIME_DETAIL",2
#9-c-1,TIME_DETAIL,1
