Indicator,Disaggregation combinations using this value
#1-a-2,1
#10-6-1,1
#15-a-1,1
#16-1-1,3
#16-10-1,3
#16-10-2,1
#16-2-1,9
#16-3-2,9
#16-6-1,3
#16-8-1,1
#16-9-1,9
#17-1-1,1
#17-1-2,1
#17-18-2,1
#17-18-3,1
#17-19-2,3
#17-3-1,21
#17-3-2,1
#17-8-1,9
#2-1-2,1
#2-2-1,9
#2-2-2,9
#2-a-1,6
#3-1-2,3
#3-2-1,9
#3-2-2,9
#3-4-2,3
#3-7-1,6
#3-7-2,6
#3-b-2,1
#4-a-1,24
#5-3-1,38
#5-5-2,9
#5-b-1,9
#6-1-1,76
#6-2-1,76
#6-a-1,1
#7-1-2,19
#7-2-1,1
#7-3-1,1
#8-1-1,3
#8-10-1,1
#8-10-2,9
#8-2-1,3
#8-3-1,9
#8-5-1,72
#8-5-2,48
#8-6-1,9
#8-7-1,36
#8-9-1,3
#8-a-1,1
#9-2-1,3
#9-2-2,9
#9-3-1,3
#9-4-1,1
#9-b-1,3
