Indicator,Disaggregation combinations using this value
#1-1-2,216
#1-2-2,3
#1-5-1,9
#1-5-2,12
#1-5-3,2
#1-5-4,2
#1-a-2,10
#10-1-1,4
#10-3-1,36
#10-6-1,20
#10-c-1,1
#11-5-1,9
#11-b-1,2
#11-b-2,2
#12-1-1,2
#12-4-1,4
#15-1-1,168
#15-1-2,1
#15-4-1,1
#15-4-2,1
#15-5-1,1
#15-a-1,17
#16-1-1,51
#16-1-3,12
#16-1-4,18
#16-10-1,18
#16-10-2,6
#16-2-1,18
#16-2-3,36
#16-3-1,12
#16-3-2,180
#16-5-1,108
#16-5-2,2
#16-6-1,30
#16-6-2,9
#16-7-2,36
#16-8-1,20
#16-9-1,54
#16-a-1,5
#16-b-1,36
#17-1-1,10
#17-1-2,20
#17-18-2,20
#17-18-3,5
#17-19-2,30
#17-3-1,399
#17-3-2,20
#17-6-2,2
#17-8-1,63
#2-1-2,5
#2-2-1,90
#2-2-2,18
#2-a-1,126
#2-c-1,5
#3-1-1,30
#3-1-2,12
#3-2-1,54
#3-2-2,63
#3-3-1,15
#3-3-2,15
#3-3-3,15
#3-3-4,15
#3-4-1,12
#3-4-2,21
#3-6-1,45
#3-7-1,12
#3-7-2,30
#3-8-2,1
#3-a-1,45
#3-b-1,36
#3-b-2,19
#3-c-1,5
#4-1-1,9
#4-2-1,9
#4-2-2,5
#4-3-1,12
#4-a-1,456
#5-2-1,18
#5-2-2,3
#5-3-1,152
#5-4-1,4
#5-5-1,72
#5-5-2,180
#5-b-1,72
#6-1-1,228
#6-2-1,1292
#6-a-1,18
#7-1-1,168
#7-1-2,266
#7-2-1,17
#7-3-1,18
#8-1-1,60
#8-10-1,12
#8-10-2,45
#8-2-1,54
#8-3-1,81
#8-5-1,1368
#8-5-2,912
#8-6-1,162
#8-7-1,684
#8-9-1,39
#8-a-1,13
#9-2-1,60
#9-2-2,162
#9-3-1,57
#9-3-2,2
#9-4-1,12
#9-5-1,1
#9-5-2,1
#9-b-1,60
#9-c-1,1
