Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2001,2001,NUMBER,DC_ODA_BDVDL,2.37
2002,2002,NUMBER,DC_ODA_BDVDL,1.39
2003,2003,NUMBER,DC_ODA_BDVDL,0.43
2004,2004,NUMBER,DC_ODA_BDVDL,0.6
2005,2005,NUMBER,DC_ODA_BDVDL,10.78
2006,2006,NUMBER,DC_ODA_BDVDL,1.25
2007,2007,NUMBER,DC_ODA_BDVDL,4.16
2008,2008,NUMBER,DC_ODA_BDVDL,7.01
2009,2009,NUMBER,DC_ODA_BDVDL,7.71
2010,2010,NUMBER,DC_ODA_BDVDL,2.9
2011,2011,NUMBER,DC_ODA_BDVDL,14.85
2012,2012,NUMBER,DC_ODA_BDVDL,20.29
2013,2013,NUMBER,DC_ODA_BDVDL,10.35
2014,2014,NUMBER,DC_ODA_BDVDL,21.04
2015,2015,NUMBER,DC_ODA_BDVDL,15.87
2016,2016,NUMBER,DC_ODA_BDVDL,15.87
2017,2017,NUMBER,DC_ODA_BDVDL,16.9
