Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2014,M,West Bank,2014,VC_VAW_PHYPYV,
2019,M,West Bank,2019,VC_VAW_PHYPYV,
2014,M,Gaza Strip,2014,VC_VAW_PHYPYV,
2019,M,Gaza Strip,2019,VC_VAW_PHYPYV,
2014,M,PS,2014,VC_VAW_PHYPYV,92.8
2019,M,PS,2019,VC_VAW_PHYPYV,92.3
2014,F,West Bank,2014,VC_VAW_PHYPYV,
2019,F,West Bank,2019,VC_VAW_PHYPYV,
2014,F,Gaza Strip,2014,VC_VAW_PHYPYV,
2019,F,Gaza Strip,2019,VC_VAW_PHYPYV,
2014,F,PS,2014,VC_VAW_PHYPYV,91.6
2019,F,PS,2019,VC_VAW_PHYPYV,87.9
2014,_T,West Bank,2014,VC_VAW_PHYPYV,90.4
2019,_T,West Bank,2019,VC_VAW_PHYPYV,88.3
2014,_T,Gaza Strip,2014,VC_VAW_PHYPYV,94.5
2019,_T,Gaza Strip,2019,VC_VAW_PHYPYV,92.3
2014,_T,PS,2014,VC_VAW_PHYPYV,92.2
2019,_T,PS,2019,VC_VAW_PHYPYV,90.1
