Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,2000,NUMBER,SG_INT_MBRDEV,2
2001,2001,NUMBER,SG_INT_MBRDEV,2
2002,2002,NUMBER,SG_INT_MBRDEV,2
2003,2003,NUMBER,SG_INT_MBRDEV,2
2004,2004,NUMBER,SG_INT_MBRDEV,2
2005,2005,NUMBER,SG_INT_MBRDEV,2
2006,2006,NUMBER,SG_INT_MBRDEV,2
2007,2007,NUMBER,SG_INT_MBRDEV,2
2008,2008,NUMBER,SG_INT_MBRDEV,2
2009,2009,NUMBER,SG_INT_MBRDEV,2
2010,2010,NUMBER,SG_INT_MBRDEV,2
2011,2011,NUMBER,SG_INT_MBRDEV,2
2012,2012,NUMBER,SG_INT_MBRDEV,2
2013,2013,NUMBER,SG_INT_MBRDEV,2
2014,2014,NUMBER,SG_INT_MBRDEV,2
2015,2015,NUMBER,SG_INT_MBRDEV,2
2016,2016,NUMBER,SG_INT_MBRDEV,2
2017,2017,NUMBER,SG_INT_MBRDEV,2
2018,2018,NUMBER,SG_INT_MBRDEV,2
2019,2019,NUMBER,SG_INT_MBRDEV,2
