Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,GC_GOB_TAXD,,20.2
2001,2001,GC_GOB_TAXD,,20.4
2002,2002,GC_GOB_TAXD,,22.0
2003,2003,GC_GOB_TAXD,,8.2
2004,2004,GC_GOB_TAXD,,9.4
2005,2005,GC_GOB_TAXD,,8.5
2006,2006,GC_GOB_TAXD,,9.5
2007,2007,GC_GOB_TAXD,,11.0
2008,2008,GC_GOB_TAXD,,11.2
2009,2009,GC_GOB_TAXD,,10.5
2010,2010,GC_GOB_TAXD,,19.5
2011,2011,GC_GOB_TAXD,,11.0
2012,2012,GC_GOB_TAXD,,25.0
2013,2013,GC_GOB_TAXD,,12.2
2014,2014,GC_GOB_TAXD,,21.9
2015,2015,GC_GOB_TAXD,,21.5
2016,2016,GC_GOB_TAXD,,17.6
2017,2017,GC_GOB_TAXD,,21.4
2018,2018,GC_GOB_TAXD,,24.5
2019,2019,GC_GOB_TAXD,,23.4
