Year,AREA,TIME_DETAIL,Value
2007,West Bank,2007,63.4
2008,West Bank,2008,65.6
2009,West Bank,2009,66.4
2010,West Bank,2010,66.6
2011,West Bank,2011,70.5
2012,West Bank,2012,71.1
2013,West Bank,2013,68.6
2014,West Bank,2014,68.6
2015,West Bank,2015,75.1
2017,West Bank,2017,66.2
2007,Gaza Strip,2007,80.7
2008,Gaza Strip,2008,88.5
2009,Gaza Strip,2009,97.0
2010,Gaza Strip,2010,77.1
2011,Gaza Strip,2011,80.2
2012,Gaza Strip,2012,85.1
2013,Gaza Strip,2013,78.1
2014,Gaza Strip,2014,113.7
2015,Gaza Strip,2015,76.8
2017,Gaza Strip,2017,72.0
2007,Palestine,2007,70.0
2008,Palestine,2008,74.2
2009,Palestine,2009,77.8
2010,Palestine,2010,70.6
2011,Palestine,2011,74.2
2012,Palestine,2012,76.4
2013,Palestine,2013,72.2
2014,Palestine,2014,85.9
2015,Palestine,2015,75.8
2017,Palestine,2017,68.4
