Year,SEX,AREA,TIME_DETAIL,Value
2004,Female,West Bank,2004,65
2006,Female,West Bank,2006,55
2010,Female,West Bank,2010,59
2014,Female,West Bank,2014,35
2019,Female,West Bank,2019,39
2004,Female,Gaza Strip,2004,76
2006,Female,Gaza Strip,2006,67
2010,Female,Gaza Strip,2010,65
2014,Female,Gaza Strip,2014,66
2019,Female,Gaza Strip,2019,48
2004,Female,Palestine,2004,69
2006,Female,Palestine,2006,59
2010,Female,Palestine,2010,67
2014,Female,Palestine,2014,48
2019,Female,Palestine,2019,43
2004,Both sexes or no breakdown by sex,West Bank,2004,65
2006,Both sexes or no breakdown by sex,West Bank,2006,55
2010,Both sexes or no breakdown by sex,West Bank,2010,59
2014,Both sexes or no breakdown by sex,West Bank,2014,35
2019,Both sexes or no breakdown by sex,West Bank,2019,39
2004,Both sexes or no breakdown by sex,Gaza Strip,2004,76
2006,Both sexes or no breakdown by sex,Gaza Strip,2006,67
2010,Both sexes or no breakdown by sex,Gaza Strip,2010,65
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,66
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,48
2004,Both sexes or no breakdown by sex,Palestine,2004,69
2006,Both sexes or no breakdown by sex,Palestine,2006,59
2010,Both sexes or no breakdown by sex,Palestine,2010,67
2014,Both sexes or no breakdown by sex,Palestine,2014,48
2019,Both sexes or no breakdown by sex,Palestine,2019,43
