Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2005,F,West Bank,N,2005,VC_VAW_MARR,PH,34.7
2011,F,West Bank,N,2011,VC_VAW_MARR,PH,25.6
2019,F,West Bank,N,2019,VC_VAW_MARR,PH,22.9
2005,F,Gaza Strip,N,2005,VC_VAW_MARR,PH,27.3
2011,F,Gaza Strip,N,2011,VC_VAW_MARR,PH,42.8
2019,F,Gaza Strip,N,2019,VC_VAW_MARR,PH,33.3
2005,F,PS,N,2005,VC_VAW_MARR,PH,31.9
2011,F,PS,N,2011,VC_VAW_MARR,PH,31.6
2019,F,PS,N,2019,VC_VAW_MARR,PH,27.0
2005,_T,West Bank,N,2005,VC_VAW_MARR,PH,34.7
2011,_T,West Bank,N,2011,VC_VAW_MARR,PH,29.9
2019,_T,West Bank,N,2019,VC_VAW_MARR,PH,
2005,_T,Gaza Strip,N,2005,VC_VAW_MARR,PH,27.3
2011,_T,Gaza Strip,N,2011,VC_VAW_MARR,PH,51.0
2019,_T,Gaza Strip,N,2019,VC_VAW_MARR,PH,
2005,_T,PS,N,2005,VC_VAW_MARR,PH,31.9
2011,_T,PS,N,2011,VC_VAW_MARR,PH,37.0
2019,_T,PS,N,2019,VC_VAW_MARR,PH,
