Year,URBANISATION,AREA,TIME_DETAIL,Value
2001,Total,West Bank,2001,99.7
2003,Total,West Bank,2003,99.6
2004,Total,West Bank,2004,99.4
2005,Total,West Bank,2005,99.5
2006,Total,West Bank,2006,99.3
2007,Total,West Bank,2007,98.4
2008,Total,West Bank,2008,99.7
2009,Total,West Bank,2009,99.9
2010,Total,West Bank,2010,99.7
2011,Total,West Bank,2011,99.8
2012,Total,West Bank,2012,99.8
2013,Total,West Bank,2013,99.9
2015,Total,West Bank,2015,99.9
2017,Total,West Bank,2017,99.6
2001,Total,Gaza Strip,2001,97.8
2003,Total,Gaza Strip,2003,98.9
2004,Total,Gaza Strip,2004,99.5
2005,Total,Gaza Strip,2005,99.6
2006,Total,Gaza Strip,2006,99.8
2007,Total,Gaza Strip,2007,99.4
2008,Total,Gaza Strip,2008,99.9
2009,Total,Gaza Strip,2009,99.9
2010,Total,Gaza Strip,2010,100.0
2011,Total,Gaza Strip,2011,100.0
2012,Total,Gaza Strip,2012,99.8
2013,Total,Gaza Strip,2013,99.8
2015,Total,Gaza Strip,2015,99.8
2017,Total,Gaza Strip,2017,99.9
2001,Total,Palestine,2001,99.1
2003,Total,Palestine,2003,99.4
2004,Total,Palestine,2004,99.5
2005,Total,Palestine,2005,99.6
2006,Total,Palestine,2006,99.5
2007,Total,Palestine,2007,98.8
2008,Total,Palestine,2008,99.8
2009,Total,Palestine,2009,99.9
2010,Total,Palestine,2010,99.8
2011,Total,Palestine,2011,99.9
2012,Total,Palestine,2012,99.8
2013,Total,Palestine,2013,99.9
2015,Total,Palestine,2015,99.9
2017,Total,Palestine,2017,99.7
2001,Urban,West Bank,2001,
2003,Urban,West Bank,2003,
2004,Urban,West Bank,2004,
2005,Urban,West Bank,2005,
2006,Urban,West Bank,2006,
2007,Urban,West Bank,2007,
2008,Urban,West Bank,2008,
2009,Urban,West Bank,2009,
2010,Urban,West Bank,2010,
2011,Urban,West Bank,2011,
2012,Urban,West Bank,2012,
2013,Urban,West Bank,2013,
2015,Urban,West Bank,2015,
2017,Urban,West Bank,2017,
2001,Urban,Gaza Strip,2001,
2003,Urban,Gaza Strip,2003,
2004,Urban,Gaza Strip,2004,
2005,Urban,Gaza Strip,2005,
2006,Urban,Gaza Strip,2006,
2007,Urban,Gaza Strip,2007,
2008,Urban,Gaza Strip,2008,
2009,Urban,Gaza Strip,2009,
2010,Urban,Gaza Strip,2010,
2011,Urban,Gaza Strip,2011,
2012,Urban,Gaza Strip,2012,
2013,Urban,Gaza Strip,2013,
2015,Urban,Gaza Strip,2015,
2017,Urban,Gaza Strip,2017,
2001,Urban,Palestine,2001,88.1
2003,Urban,Palestine,2003,99.3
2004,Urban,Palestine,2004,99.7
2005,Urban,Palestine,2005,99.8
2006,Urban,Palestine,2006,99.7
2007,Urban,Palestine,2007,
2008,Urban,Palestine,2008,99.9
2009,Urban,Palestine,2009,99.9
2010,Urban,Palestine,2010,
2011,Urban,Palestine,2011,
2012,Urban,Palestine,2012,
2013,Urban,Palestine,2013,
2015,Urban,Palestine,2015,
2017,Urban,Palestine,2017,99.9
2001,Rural,West Bank,2001,
2003,Rural,West Bank,2003,
2004,Rural,West Bank,2004,
2005,Rural,West Bank,2005,
2006,Rural,West Bank,2006,
2007,Rural,West Bank,2007,
2008,Rural,West Bank,2008,
2009,Rural,West Bank,2009,
2010,Rural,West Bank,2010,
2011,Rural,West Bank,2011,
2012,Rural,West Bank,2012,
2013,Rural,West Bank,2013,
2015,Rural,West Bank,2015,
2017,Rural,West Bank,2017,
2001,Rural,Gaza Strip,2001,
2003,Rural,Gaza Strip,2003,
2004,Rural,Gaza Strip,2004,
2005,Rural,Gaza Strip,2005,
2006,Rural,Gaza Strip,2006,
