Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,N,2001,EG_FEC_RNEW,NUMBER,17.6
2002,N,2002,EG_FEC_RNEW,NUMBER,24.0
2003,N,2003,EG_FEC_RNEW,NUMBER,24.9
2004,N,2004,EG_FEC_RNEW,NUMBER,24.3
2005,N,2005,EG_FEC_RNEW,NUMBER,25.4
2006,N,2006,EG_FEC_RNEW,NUMBER,20.7
2007,N,2007,EG_FEC_RNEW,NUMBER,22.9
2008,N,2008,EG_FEC_RNEW,NUMBER,20.3
2009,N,2009,EG_FEC_RNEW,NUMBER,17.6
2010,N,2010,EG_FEC_RNEW,NUMBER,19.4
2011,N,2011,EG_FEC_RNEW,NUMBER,20.1
2012,N,2012,EG_FEC_RNEW,NUMBER,16.2
2013,N,2013,EG_FEC_RNEW,NUMBER,15.4
2014,N,2014,EG_FEC_RNEW,NUMBER,13.8
2015,N,2015,EG_FEC_RNEW,NUMBER,13.8
2016,N,2016,EG_FEC_RNEW,NUMBER,13.6
2017,N,2017,EG_FEC_RNEW,NUMBER,10.3
