Year,SEX,REF_AREA,AGE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,_T,2000,SL_TLF_CHLDEC,,
2001,M,West Bank,_T,2001,SL_TLF_CHLDEC,,
2002,M,West Bank,_T,2002,SL_TLF_CHLDEC,,
2003,M,West Bank,_T,2003,SL_TLF_CHLDEC,,
2004,M,West Bank,_T,2004,SL_TLF_CHLDEC,,
2005,M,West Bank,_T,2005,SL_TLF_CHLDEC,,
2006,M,West Bank,_T,2006,SL_TLF_CHLDEC,,
2007,M,West Bank,_T,2007,SL_TLF_CHLDEC,,
2008,M,West Bank,_T,2008,SL_TLF_CHLDEC,,
2009,M,West Bank,_T,2009,SL_TLF_CHLDEC,,
2010,M,West Bank,_T,2010,SL_TLF_CHLDEC,,
2011,M,West Bank,_T,2011,SL_TLF_CHLDEC,,
2012,M,West Bank,_T,2012,SL_TLF_CHLDEC,,
2013,M,West Bank,_T,2013,SL_TLF_CHLDEC,,
2014,M,West Bank,_T,2014,SL_TLF_CHLDEC,,
2015,M,West Bank,_T,2015,SL_TLF_CHLDEC,,
2016,M,West Bank,_T,2016,SL_TLF_CHLDEC,,
2017,M,West Bank,_T,2017,SL_TLF_CHLDEC,,
2018,M,West Bank,_T,2018,SL_TLF_CHLDEC,,
2000,M,West Bank,Y10T14,2000,SL_TLF_CHLDEC,,
2001,M,West Bank,Y10T14,2001,SL_TLF_CHLDEC,,
2002,M,West Bank,Y10T14,2002,SL_TLF_CHLDEC,,
2003,M,West Bank,Y10T14,2003,SL_TLF_CHLDEC,,
2004,M,West Bank,Y10T14,2004,SL_TLF_CHLDEC,,
2005,M,West Bank,Y10T14,2005,SL_TLF_CHLDEC,,
2006,M,West Bank,Y10T14,2006,SL_TLF_CHLDEC,,
2007,M,West Bank,Y10T14,2007,SL_TLF_CHLDEC,,
2008,M,West Bank,Y10T14,2008,SL_TLF_CHLDEC,,
2009,M,West Bank,Y10T14,2009,SL_TLF_CHLDEC,,
2010,M,West Bank,Y10T14,2010,SL_TLF_CHLDEC,,
2011,M,West Bank,Y10T14,2011,SL_TLF_CHLDEC,,
2012,M,West Bank,Y10T14,2012,SL_TLF_CHLDEC,,
2013,M,West Bank,Y10T14,2013,SL_TLF_CHLDEC,,
2014,M,West Bank,Y10T14,2014,SL_TLF_CHLDEC,,
2015,M,West Bank,Y10T14,2015,SL_TLF_CHLDEC,,
2016,M,West Bank,Y10T14,2016,SL_TLF_CHLDEC,,
2017,M,West Bank,Y10T14,2017,SL_TLF_CHLDEC,,
2018,M,West Bank,Y10T14,2018,SL_TLF_CHLDEC,,
2000,M,West Bank,Y10T17,2000,SL_TLF_CHLDEC,,
2001,M,West Bank,Y10T17,2001,SL_TLF_CHLDEC,,
2002,M,West Bank,Y10T17,2002,SL_TLF_CHLDEC,,
2003,M,West Bank,Y10T17,2003,SL_TLF_CHLDEC,,
2004,M,West Bank,Y10T17,2004,SL_TLF_CHLDEC,,
2005,M,West Bank,Y10T17,2005,SL_TLF_CHLDEC,,
2006,M,West Bank,Y10T17,2006,SL_TLF_CHLDEC,,
2007,M,West Bank,Y10T17,2007,SL_TLF_CHLDEC,,
2008,M,West Bank,Y10T17,2008,SL_TLF_CHLDEC,,
2009,M,West Bank,Y10T17,2009,SL_TLF_CHLDEC,,
2010,M,West Bank,Y10T17,2010,SL_TLF_CHLDEC,,
2011,M,West Bank,Y10T17,2011,SL_TLF_CHLDEC,,
2012,M,West Bank,Y10T17,2012,SL_TLF_CHLDEC,,
2013,M,West Bank,Y10T17,2013,SL_TLF_CHLDEC,,
2014,M,West Bank,Y10T17,2014,SL_TLF_CHLDEC,,
2015,M,West Bank,Y10T17,2015,SL_TLF_CHLDEC,,
2016,M,West Bank,Y10T17,2016,SL_TLF_CHLDEC,,
2017,M,West Bank,Y10T17,2017,SL_TLF_CHLDEC,,
2018,M,West Bank,Y10T17,2018,SL_TLF_CHLDEC,,
2000,M,West Bank,Y15T17,2000,SL_TLF_CHLDEC,,
2001,M,West Bank,Y15T17,2001,SL_TLF_CHLDEC,,
2002,M,West Bank,Y15T17,2002,SL_TLF_CHLDEC,,
2003,M,West Bank,Y15T17,2003,SL_TLF_CHLDEC,,
2004,M,West Bank,Y15T17,2004,SL_TLF_CHLDEC,,
2005,M,West Bank,Y15T17,2005,SL_TLF_CHLDEC,,
2006,M,West Bank,Y15T17,2006,SL_TLF_CHLDEC,,
2007,M,West Bank,Y15T17,2007,SL_TLF_CHLDEC,,
2008,M,West Bank,Y15T17,2008,SL_TLF_CHLDEC,,
2009,M,West Bank,Y15T17,2009,SL_TLF_CHLDEC,,
2010,M,West Bank,Y15T17,2010,SL_TLF_CHLDEC,,
2011,M,West Bank,Y15T17,2011,SL_TLF_CHLDEC,,
2012,M,West Bank,Y15T17,2012,SL_TLF_CHLDEC,,
2013,M,West Bank,Y15T17,2013,SL_TLF_CHLDEC,,
2014,M,West Bank,Y15T17,2014,SL_TLF_CHLDEC,,
2015,M,West Bank,Y15T17,2015,SL_TLF_CHLDEC,,
2016,M,West Bank,Y15T17,2016,SL_TLF_CHLDEC,,
2017,M,West Bank,Y15T17,2017,SL_TLF_CHLDEC,,
2018,M,West Bank,Y15T17,2018,SL_TLF_CHLDEC,,
2000,M,Gaza Strip,_T,2000,SL_TLF_CHLDEC,,
2001,M,Gaza Strip,_T,2001,SL_TLF_CHLDEC,,
2002,M,Gaza Strip,_T,2002,SL_TLF_CHLDEC,,
2003,M,Gaza Strip,_T,2003,SL_TLF_CHLDEC,,
2004,M,Gaza Strip,_T,2004,SL_TLF_CHLDEC,,
2005,M,Gaza Strip,_T,2005,SL_TLF_CHLDEC,,
2006,M,Gaza Strip,_T,2006,SL_TLF_CHLDEC,,
2007,M,Gaza Strip,_T,2007,SL_TLF_CHLDEC,,
2008,M,Gaza Strip,_T,2008,SL_TLF_CHLDEC,,
2009,M,Gaza Strip,_T,2009,SL_TLF_CHLDEC,,
2010,M,Gaza Strip,_T,2010,SL_TLF_CHLDEC,,
2011,M,Gaza Strip,_T,2011,SL_TLF_CHLDEC,,
2012,M,Gaza Strip,_T,2012,SL_TLF_CHLDEC,,
2013,M,Gaza Strip,_T,2013,SL_TLF_CHLDEC,,
2014,M,Gaza Strip,_T,2014,SL_TLF_CHLDEC,,
2015,M,Gaza Strip,_T,2015,SL_TLF_CHLDEC,,
2016,M,Gaza Strip,_T,2016,SL_TLF_CHLDEC,,
2017,M,Gaza Strip,_T,2017,SL_TLF_CHLDEC,,
2018,M,Gaza Strip,_T,2018,SL_TLF_CHLDEC,,
2000,M,Gaza Strip,Y10T14,2000,SL_TLF_CHLDEC,,
2001,M,Gaza Strip,Y10T14,2001,SL_TLF_CHLDEC,,
2002,M,Gaza Strip,Y10T14,2002,SL_TLF_CHLDEC,,
2003,M,Gaza Strip,Y10T14,2003,SL_TLF_CHLDEC,,
2004,M,Gaza Strip,Y10T14,2004,SL_TLF_CHLDEC,,
2005,M,Gaza Strip,Y10T14,2005,SL_TLF_CHLDEC,,
2006,M,Gaza Strip,Y10T14,2006,SL_TLF_CHLDEC,,
2007,M,Gaza Strip,Y10T14,2007,SL_TLF_CHLDEC,,
2008,M,Gaza Strip,Y10T14,2008,SL_TLF_CHLDEC,,
2009,M,Gaza Strip,Y10T14,2009,SL_TLF_CHLDEC,,
2010,M,Gaza Strip,Y10T14,2010,SL_TLF_CHLDEC,,
2011,M,Gaza Strip,Y10T14,2011,SL_TLF_CHLDEC,,
2012,M,Gaza Strip,Y10T14,2012,SL_TLF_CHLDEC,,
2013,M,Gaza Strip,Y10T14,2013,SL_TLF_CHLDEC,,
2014,M,Gaza Strip,Y10T14,2014,SL_TLF_CHLDEC,,
2015,M,Gaza Strip,Y10T14,2015,SL_TLF_CHLDEC,,
2016,M,Gaza Strip,Y10T14,2016,SL_TLF_CHLDEC,,
2017,M,Gaza Strip,Y10T14,2017,SL_TLF_CHLDEC,,
2018,M,Gaza Strip,Y10T14,2018,SL_TLF_CHLDEC,,
2000,M,Gaza Strip,Y10T17,2000,SL_TLF_CHLDEC,,
2001,M,Gaza Strip,Y10T17,2001,SL_TLF_CHLDEC,,
2002,M,Gaza Strip,Y10T17,2002,SL_TLF_CHLDEC,,
2003,M,Gaza Strip,Y10T17,2003,SL_TLF_CHLDEC,,
2004,M,Gaza Strip,Y10T17,2004,SL_TLF_CHLDEC,,
2005,M,Gaza Strip,Y10T17,2005,SL_TLF_CHLDEC,,
2006,M,Gaza Strip,Y10T17,2006,SL_TLF_CHLDEC,,
2007,M,Gaza Strip,Y10T17,2007,SL_TLF_CHLDEC,,
2008,M,Gaza Strip,Y10T17,2008,SL_TLF_CHLDEC,,
2009,M,Gaza Strip,Y10T17,2009,SL_TLF_CHLDEC,,
2010,M,Gaza Strip,Y10T17,2010,SL_TLF_CHLDEC,,
2011,M,Gaza Strip,Y10T17,2011,SL_TLF_CHLDEC,,
2012,M,Gaza Strip,Y10T17,2012,SL_TLF_CHLDEC,,
2013,M,Gaza Strip,Y10T17,2013,SL_TLF_CHLDEC,,
2014,M,Gaza Strip,Y10T17,2014,SL_TLF_CHLDEC,,
2015,M,Gaza Strip,Y10T17,2015,SL_TLF_CHLDEC,,
2016,M,Gaza Strip,Y10T17,2016,SL_TLF_CHLDEC,,
2017,M,Gaza Strip,Y10T17,2017,SL_TLF_CHLDEC,,
2018,M,Gaza Strip,Y10T17,2018,SL_TLF_CHLDEC,,
2000,M,Gaza Strip,Y15T17,2000,SL_TLF_CHLDEC,,
2001,M,Gaza Strip,Y15T17,2001,SL_TLF_CHLDEC,,
2002,M,Gaza Strip,Y15T17,2002,SL_TLF_CHLDEC,,
2003,M,Gaza Strip,Y15T17,2003,SL_TLF_CHLDEC,,
2004,M,Gaza Strip,Y15T17,2004,SL_TLF_CHLDEC,,
2005,M,Gaza Strip,Y15T17,2005,SL_TLF_CHLDEC,,
2006,M,Gaza Strip,Y15T17,2006,SL_TLF_CHLDEC,,
2007,M,Gaza Strip,Y15T17,2007,SL_TLF_CHLDEC,,
2008,M,Gaza Strip,Y15T17,2008,SL_TLF_CHLDEC,,
2009,M,Gaza Strip,Y15T17,2009,SL_TLF_CHLDEC,,
2010,M,Gaza Strip,Y15T17,2010,SL_TLF_CHLDEC,,
2011,M,Gaza Strip,Y15T17,2011,SL_TLF_CHLDEC,,
2012,M,Gaza Strip,Y15T17,2012,SL_TLF_CHLDEC,,
2013,M,Gaza Strip,Y15T17,2013,SL_TLF_CHLDEC,,
2014,M,Gaza Strip,Y15T17,2014,SL_TLF_CHLDEC,,
2015,M,Gaza Strip,Y15T17,2015,SL_TLF_CHLDEC,,
2016,M,Gaza Strip,Y15T17,2016,SL_TLF_CHLDEC,,
2017,M,Gaza Strip,Y15T17,2017,SL_TLF_CHLDEC,,
