Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2011,M,West Bank,N,2011,SG_REG_BRTH,PT,93.3
2012,M,West Bank,N,2012,SG_REG_BRTH,PT,88.2
2013,M,West Bank,N,2013,SG_REG_BRTH,PT,99.0
2014,M,West Bank,N,2014,SG_REG_BRTH,PT,94.0
2015,M,West Bank,N,2015,SG_REG_BRTH,PT,95.6
2019,M,West Bank,N,2019,SG_REG_BRTH,PT,
2011,M,Gaza Strip,N,2011,SG_REG_BRTH,PT,
2012,M,Gaza Strip,N,2012,SG_REG_BRTH,PT,
2013,M,Gaza Strip,N,2013,SG_REG_BRTH,PT,
2014,M,Gaza Strip,N,2014,SG_REG_BRTH,PT,
2015,M,Gaza Strip,N,2015,SG_REG_BRTH,PT,91.2
2019,M,Gaza Strip,N,2019,SG_REG_BRTH,PT,
2011,M,PS,N,2011,SG_REG_BRTH,PT,
2012,M,PS,N,2012,SG_REG_BRTH,PT,
2013,M,PS,N,2013,SG_REG_BRTH,PT,
2014,M,PS,N,2014,SG_REG_BRTH,PT,99.3
2015,M,PS,N,2015,SG_REG_BRTH,PT,93.6
2019,M,PS,N,2019,SG_REG_BRTH,PT,99.4
2011,F,West Bank,N,2011,SG_REG_BRTH,PT,91.3
2012,F,West Bank,N,2012,SG_REG_BRTH,PT,87.3
2013,F,West Bank,N,2013,SG_REG_BRTH,PT,98.9
2014,F,West Bank,N,2014,SG_REG_BRTH,PT,91.9
2015,F,West Bank,N,2015,SG_REG_BRTH,PT,94.1
2019,F,West Bank,N,2019,SG_REG_BRTH,PT,
2011,F,Gaza Strip,N,2011,SG_REG_BRTH,PT,
2012,F,Gaza Strip,N,2012,SG_REG_BRTH,PT,
2013,F,Gaza Strip,N,2013,SG_REG_BRTH,PT,
2014,F,Gaza Strip,N,2014,SG_REG_BRTH,PT,
2015,F,Gaza Strip,N,2015,SG_REG_BRTH,PT,89.2
2019,F,Gaza Strip,N,2019,SG_REG_BRTH,PT,
2011,F,PS,N,2011,SG_REG_BRTH,PT,
2012,F,PS,N,2012,SG_REG_BRTH,PT,
2013,F,PS,N,2013,SG_REG_BRTH,PT,
2014,F,PS,N,2014,SG_REG_BRTH,PT,99.3
2015,F,PS,N,2015,SG_REG_BRTH,PT,91.9
2019,F,PS,N,2019,SG_REG_BRTH,PT,98.9
2011,_T,West Bank,N,2011,SG_REG_BRTH,PT,92.3
2012,_T,West Bank,N,2012,SG_REG_BRTH,PT,87.7
2013,_T,West Bank,N,2013,SG_REG_BRTH,PT,99.0
2014,_T,West Bank,N,2014,SG_REG_BRTH,PT,99.1
2015,_T,West Bank,N,2015,SG_REG_BRTH,PT,94.9
2019,_T,West Bank,N,2019,SG_REG_BRTH,PT,98.9
2011,_T,Gaza Strip,N,2011,SG_REG_BRTH,PT,
2012,_T,Gaza Strip,N,2012,SG_REG_BRTH,PT,
2013,_T,Gaza Strip,N,2013,SG_REG_BRTH,PT,
2014,_T,Gaza Strip,N,2014,SG_REG_BRTH,PT,99.6
2015,_T,Gaza Strip,N,2015,SG_REG_BRTH,PT,90.2
2019,_T,Gaza Strip,N,2019,SG_REG_BRTH,PT,99.5
2011,_T,PS,N,2011,SG_REG_BRTH,PT,
2012,_T,PS,N,2012,SG_REG_BRTH,PT,
2013,_T,PS,N,2013,SG_REG_BRTH,PT,
2014,_T,PS,N,2014,SG_REG_BRTH,PT,99.3
2015,_T,PS,N,2015,SG_REG_BRTH,PT,92.8
2019,_T,PS,N,2019,SG_REG_BRTH,PT,99.2
