Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,GC_GOB_TAXD,PT,20.2
2001,2001,GC_GOB_TAXD,PT,20.4
2002,2002,GC_GOB_TAXD,PT,22.0
2003,2003,GC_GOB_TAXD,PT,8.2
2004,2004,GC_GOB_TAXD,PT,9.4
2005,2005,GC_GOB_TAXD,PT,8.5
2006,2006,GC_GOB_TAXD,PT,9.5
2007,2007,GC_GOB_TAXD,PT,11.0
2008,2008,GC_GOB_TAXD,PT,11.2
2009,2009,GC_GOB_TAXD,PT,10.5
2010,2010,GC_GOB_TAXD,PT,19.5
2011,2011,GC_GOB_TAXD,PT,11.0
2012,2012,GC_GOB_TAXD,PT,25.0
2013,2013,GC_GOB_TAXD,PT,12.2
2014,2014,GC_GOB_TAXD,PT,21.9
2015,2015,GC_GOB_TAXD,PT,21.5
2016,2016,GC_GOB_TAXD,PT,17.6
2017,2017,GC_GOB_TAXD,PT,21.4
2018,2018,GC_GOB_TAXD,PT,24.5
2019,2019,GC_GOB_TAXD,PT,23.4
