Year,SEX,AREA,TIME_DETAIL,Value
2005,Female,West Bank,2005,34.7
2011,Female,West Bank,2011,25.6
2019,Female,West Bank,2019,22.9
2005,Female,Gaza Strip,2005,27.3
2011,Female,Gaza Strip,2011,42.8
2019,Female,Gaza Strip,2019,33.3
2005,Female,Palestine,2005,31.9
2011,Female,Palestine,2011,31.6
2019,Female,Palestine,2019,27.0
2005,Both sexes or no breakdown by sex,West Bank,2005,34.7
2011,Both sexes or no breakdown by sex,West Bank,2011,29.9
2019,Both sexes or no breakdown by sex,West Bank,2019,
2005,Both sexes or no breakdown by sex,Gaza Strip,2005,27.3
2011,Both sexes or no breakdown by sex,Gaza Strip,2011,51.0
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,
2005,Both sexes or no breakdown by sex,Palestine,2005,31.9
2011,Both sexes or no breakdown by sex,Palestine,2011,37.0
2019,Both sexes or no breakdown by sex,Palestine,2019,
