Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2007,F,West Bank,2007,SP_DYN_MRBF15,,16.8
2014,F,West Bank,2014,SP_DYN_MRBF15,,
2017,F,West Bank,2017,SP_DYN_MRBF15,,8.5
2019,F,West Bank,2019,SP_DYN_MRBF15,,11.4
2007,F,Gaza Strip,2007,SP_DYN_MRBF15,,19.6
2014,F,Gaza Strip,2014,SP_DYN_MRBF15,,
2017,F,Gaza Strip,2017,SP_DYN_MRBF15,,13.8
2019,F,Gaza Strip,2019,SP_DYN_MRBF15,,16.5
2007,F,PS,2007,SP_DYN_MRBF15,,18.0
2014,F,PS,2014,SP_DYN_MRBF15,,
2017,F,PS,2017,SP_DYN_MRBF15,,10.8
2019,F,PS,2019,SP_DYN_MRBF15,,13.4
2007,F,Jenin,2007,SP_DYN_MRBF15,,16.4
2014,F,Jenin,2014,SP_DYN_MRBF15,,
2017,F,Jenin,2017,SP_DYN_MRBF15,,7.6
2019,F,Jenin,2019,SP_DYN_MRBF15,,
2007,F,Tubas & Northern Valleys,2007,SP_DYN_MRBF15,,12.9
2014,F,Tubas & Northern Valleys,2014,SP_DYN_MRBF15,,
2017,F,Tubas & Northern Valleys,2017,SP_DYN_MRBF15,,5.5
2019,F,Tubas & Northern Valleys,2019,SP_DYN_MRBF15,,
2007,F,Tulkarm,2007,SP_DYN_MRBF15,,12.7
2014,F,Tulkarm,2014,SP_DYN_MRBF15,,
2017,F,Tulkarm,2017,SP_DYN_MRBF15,,5.3
2019,F,Tulkarm,2019,SP_DYN_MRBF15,,
2007,F,Nablus,2007,SP_DYN_MRBF15,,16.7
2014,F,Nablus,2014,SP_DYN_MRBF15,,
2017,F,Nablus,2017,SP_DYN_MRBF15,,7.8
2019,F,Nablus,2019,SP_DYN_MRBF15,,
2007,F,Qalqiliya,2007,SP_DYN_MRBF15,,19.3
2014,F,Qalqiliya,2014,SP_DYN_MRBF15,,
2017,F,Qalqiliya,2017,SP_DYN_MRBF15,,7.7
2019,F,Qalqiliya,2019,SP_DYN_MRBF15,,
2007,F,Salfit,2007,SP_DYN_MRBF15,,16.8
2014,F,Salfit,2014,SP_DYN_MRBF15,,
2017,F,Salfit,2017,SP_DYN_MRBF15,,6.4
2019,F,Salfit,2019,SP_DYN_MRBF15,,
2007,F,Ramallah & Al-Bireh,2007,SP_DYN_MRBF15,,13.2
2014,F,Ramallah & Al-Bireh,2014,SP_DYN_MRBF15,,
2017,F,Ramallah & Al-Bireh,2017,SP_DYN_MRBF15,,5.5
2019,F,Ramallah & Al-Bireh,2019,SP_DYN_MRBF15,,
2007,F,Jericho & AL Aghwar,2007,SP_DYN_MRBF15,,15.2
2014,F,Jericho & AL Aghwar,2014,SP_DYN_MRBF15,,
2017,F,Jericho & AL Aghwar,2017,SP_DYN_MRBF15,,9.4
2019,F,Jericho & AL Aghwar,2019,SP_DYN_MRBF15,,
2007,F,Jerusalem,2007,SP_DYN_MRBF15,,17.8
2014,F,Jerusalem,2014,SP_DYN_MRBF15,,
