Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,N,2000,DC_TOF_WASHL,NUMBER,125.92
2001,N,2001,DC_TOF_WASHL,NUMBER,327.35
2002,N,2002,DC_TOF_WASHL,NUMBER,74.69
2003,N,2003,DC_TOF_WASHL,NUMBER,78.81
2004,N,2004,DC_TOF_WASHL,NUMBER,55.17
2005,N,2005,DC_TOF_WASHL,NUMBER,47.97
2006,N,2006,DC_TOF_WASHL,NUMBER,65.28
2007,N,2007,DC_TOF_WASHL,NUMBER,47.05
2008,N,2008,DC_TOF_WASHL,NUMBER,51.74
2009,N,2009,DC_TOF_WASHL,NUMBER,48.94
2010,N,2010,DC_TOF_WASHL,NUMBER,121.82
2011,N,2011,DC_TOF_WASHL,NUMBER,102.5
2012,N,2012,DC_TOF_WASHL,NUMBER,97.4
2013,N,2013,DC_TOF_WASHL,NUMBER,75.05
2014,N,2014,DC_TOF_WASHL,NUMBER,106.79
2015,N,2015,DC_TOF_WASHL,NUMBER,114.75
2016,N,2016,DC_TOF_WASHL,NUMBER,104.2
2017,N,2017,DC_TOF_WASHL,NUMBER,102.9
