Year,SEX,AREA,AGE,TIME_DETAIL,Value
2000,Male,West Bank,All age ranges or no breakdown by age,2000,
2001,Male,West Bank,All age ranges or no breakdown by age,2001,
2002,Male,West Bank,All age ranges or no breakdown by age,2002,
2003,Male,West Bank,All age ranges or no breakdown by age,2003,
2004,Male,West Bank,All age ranges or no breakdown by age,2004,
2005,Male,West Bank,All age ranges or no breakdown by age,2005,
2006,Male,West Bank,All age ranges or no breakdown by age,2006,
2007,Male,West Bank,All age ranges or no breakdown by age,2007,
2008,Male,West Bank,All age ranges or no breakdown by age,2008,
2009,Male,West Bank,All age ranges or no breakdown by age,2009,
2010,Male,West Bank,All age ranges or no breakdown by age,2010,
2011,Male,West Bank,All age ranges or no breakdown by age,2011,
2012,Male,West Bank,All age ranges or no breakdown by age,2012,
2013,Male,West Bank,All age ranges or no breakdown by age,2013,
2014,Male,West Bank,All age ranges or no breakdown by age,2014,
2015,Male,West Bank,All age ranges or no breakdown by age,2015,
2016,Male,West Bank,All age ranges or no breakdown by age,2016,
2017,Male,West Bank,All age ranges or no breakdown by age,2017,
2018,Male,West Bank,All age ranges or no breakdown by age,2018,
2000,Male,West Bank,10 to 14 years old,2000,
2001,Male,West Bank,10 to 14 years old,2001,
2002,Male,West Bank,10 to 14 years old,2002,
2003,Male,West Bank,10 to 14 years old,2003,
2004,Male,West Bank,10 to 14 years old,2004,
2005,Male,West Bank,10 to 14 years old,2005,
2006,Male,West Bank,10 to 14 years old,2006,
2007,Male,West Bank,10 to 14 years old,2007,
2008,Male,West Bank,10 to 14 years old,2008,
2009,Male,West Bank,10 to 14 years old,2009,
2010,Male,West Bank,10 to 14 years old,2010,
2011,Male,West Bank,10 to 14 years old,2011,
2012,Male,West Bank,10 to 14 years old,2012,
2013,Male,West Bank,10 to 14 years old,2013,
2014,Male,West Bank,10 to 14 years old,2014,
2015,Male,West Bank,10 to 14 years old,2015,
2016,Male,West Bank,10 to 14 years old,2016,
2017,Male,West Bank,10 to 14 years old,2017,
2018,Male,West Bank,10 to 14 years old,2018,
2000,Male,West Bank,10 to 17 years old,2000,
2001,Male,West Bank,10 to 17 years old,2001,
2002,Male,West Bank,10 to 17 years old,2002,
2003,Male,West Bank,10 to 17 years old,2003,
2004,Male,West Bank,10 to 17 years old,2004,
2005,Male,West Bank,10 to 17 years old,2005,
2006,Male,West Bank,10 to 17 years old,2006,
2007,Male,West Bank,10 to 17 years old,2007,
2008,Male,West Bank,10 to 17 years old,2008,
