Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2009,M,West Bank,2009,,NUMBER,
2010,M,West Bank,2010,,NUMBER,
2011,M,West Bank,2011,,NUMBER,
2017,M,West Bank,2017,,NUMBER,
2009,M,Gaza Strip,2009,,NUMBER,
2010,M,Gaza Strip,2010,,NUMBER,
2011,M,Gaza Strip,2011,,NUMBER,
2017,M,Gaza Strip,2017,,NUMBER,
2009,M,PS,2009,,NUMBER,26.1
2010,M,PS,2010,,NUMBER,25.3
2011,M,PS,2011,,NUMBER,25.5
2017,M,PS,2017,,NUMBER,28.8
2009,M,Jenin,2009,,NUMBER,
2010,M,Jenin,2010,,NUMBER,
2011,M,Jenin,2011,,NUMBER,
2017,M,Jenin,2017,,NUMBER,
2009,M,Tubas & Northern Valleys,2009,,NUMBER,
2010,M,Tubas & Northern Valleys,2010,,NUMBER,
2011,M,Tubas & Northern Valleys,2011,,NUMBER,
2017,M,Tubas & Northern Valleys,2017,,NUMBER,
2009,M,Tulkarm,2009,,NUMBER,
2010,M,Tulkarm,2010,,NUMBER,
2011,M,Tulkarm,2011,,NUMBER,
2017,M,Tulkarm,2017,,NUMBER,
2009,M,Nablus,2009,,NUMBER,
2010,M,Nablus,2010,,NUMBER,
2011,M,Nablus,2011,,NUMBER,
2017,M,Nablus,2017,,NUMBER,
2009,M,Qalqiliya,2009,,NUMBER,
2010,M,Qalqiliya,2010,,NUMBER,
2011,M,Qalqiliya,2011,,NUMBER,
2017,M,Qalqiliya,2017,,NUMBER,
2009,M,Salfit,2009,,NUMBER,
2010,M,Salfit,2010,,NUMBER,
2011,M,Salfit,2011,,NUMBER,
2017,M,Salfit,2017,,NUMBER,
2009,M,Ramallah & Al-Bireh,2009,,NUMBER,
2010,M,Ramallah & Al-Bireh,2010,,NUMBER,
2011,M,Ramallah & Al-Bireh,2011,,NUMBER,
2017,M,Ramallah & Al-Bireh,2017,,NUMBER,
2009,M,Jericho & AL Aghwar,2009,,NUMBER,
2010,M,Jericho & AL Aghwar,2010,,NUMBER,
2011,M,Jericho & AL Aghwar,2011,,NUMBER,
2017,M,Jericho & AL Aghwar,2017,,NUMBER,
2009,M,Bethlehem,2009,,NUMBER,
2010,M,Bethlehem,2010,,NUMBER,
2011,M,Bethlehem,2011,,NUMBER,
2017,M,Bethlehem,2017,,NUMBER,
2009,M,Hebron,2009,,NUMBER,
2010,M,Hebron,2010,,NUMBER,
2011,M,Hebron,2011,,NUMBER,
2017,M,Hebron,2017,,NUMBER,
2009,M,North Gaza,2009,,NUMBER,
2010,M,North Gaza,2010,,NUMBER,
2011,M,North Gaza,2011,,NUMBER,
2017,M,North Gaza,2017,,NUMBER,
2009,M,Gaza,2009,,NUMBER,
2010,M,Gaza,2010,,NUMBER,
2011,M,Gaza,2011,,NUMBER,
2017,M,Gaza,2017,,NUMBER,
2009,M,Dier Al-Balah,2009,,NUMBER,
2010,M,Dier Al-Balah,2010,,NUMBER,
2011,M,Dier Al-Balah,2011,,NUMBER,
2017,M,Dier Al-Balah,2017,,NUMBER,
2009,M,Khan Yunis,2009,,NUMBER,
2010,M,Khan Yunis,2010,,NUMBER,
2011,M,Khan Yunis,2011,,NUMBER,
2017,M,Khan Yunis,2017,,NUMBER,
2009,M,Rafah,2009,,NUMBER,
2010,M,Rafah,2010,,NUMBER,
2011,M,Rafah,2011,,NUMBER,
2017,M,Rafah,2017,,NUMBER,
