Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,1.55
2001,West Bank,2001,1.56
2002,West Bank,2002,1.56
2003,West Bank,2003,1.56
2004,West Bank,2004,1.56
2005,West Bank,2005,1.56
2006,West Bank,2006,1.56
2007,West Bank,2007,1.61
2008,West Bank,2008,1.61
2009,West Bank,2009,1.61
2010,West Bank,2010,1.74
2011,West Bank,2011,1.74
2000,Gaza Strip,2000,0.88
2001,Gaza Strip,2001,0.88
2002,Gaza Strip,2002,0.88
2003,Gaza Strip,2003,0.88
2004,Gaza Strip,2004,0.88
2005,Gaza Strip,2005,0.88
2006,Gaza Strip,2006,0.88
2007,Gaza Strip,2007,0.88
2008,Gaza Strip,2008,0.88
2009,Gaza Strip,2009,0.88
2010,Gaza Strip,2010,0.88
2011,Gaza Strip,2011,0.88
2000,Palestine,2000,1.51
2001,Palestine,2001,1.52
2002,Palestine,2002,1.52
2003,Palestine,2003,1.52
2004,Palestine,2004,1.52
2005,Palestine,2005,1.52
2006,Palestine,2006,1.52
2007,Palestine,2007,1.57
2008,Palestine,2008,1.57
2009,Palestine,2009,1.57
2010,Palestine,2010,1.63
2011,Palestine,2011,1.68
2000,Jenin,2000,5.69
2001,Jenin,2001,5.71
2002,Jenin,2002,5.71
2003,Jenin,2003,5.71
2004,Jenin,2004,5.71
2005,Jenin,2005,5.71
2006,Jenin,2006,5.71
2007,Jenin,2007,5.69
2008,Jenin,2008,5.69
2009,Jenin,2009,5.69
2010,Jenin,2010,5.95
2011,Jenin,2011,6.21
2000,Tubas & Northern Valleys,2000,5.47
2001,Tubas & Northern Valleys,2001,5.52
2002,Tubas & Northern Valleys,2002,5.52
2003,Tubas & Northern Valleys,2003,5.52
2004,Tubas & Northern Valleys,2004,5.52
2005,Tubas & Northern Valleys,2005,5.52
2006,Tubas & Northern Valleys,2006,5.52
2007,Tubas & Northern Valleys,2007,5.47
2008,Tubas & Northern Valleys,2008,5.47
2009,Tubas & Northern Valleys,2009,5.47
2010,Tubas & Northern Valleys,2010,5.97
2011,Tubas & Northern Valleys,2011,6.34
2000,Tulkarm,2000,0.49
2001,Tulkarm,2001,0.49
2002,Tulkarm,2002,0.49
2003,Tulkarm,2003,0.49
2004,Tulkarm,2004,0.49
2005,Tulkarm,2005,0.49
2006,Tulkarm,2006,0.49
2007,Tulkarm,2007,0.49
2008,Tulkarm,2008,0.49
2009,Tulkarm,2009,0.49
2010,Tulkarm,2010,0.53
2011,Tulkarm,2011,0.53
2000,Nablus,2000,0.4
2001,Nablus,2001,0.4
2002,Nablus,2002,0.4
2003,Nablus,2003,0.4
2004,Nablus,2004,0.4
2005,Nablus,2005,0.4
2006,Nablus,2006,0.4
2007,Nablus,2007,0.4
2008,Nablus,2008,0.4
2009,Nablus,2009,0.4
2010,Nablus,2010,0.41
2011,Nablus,2011,0.41
2000,Qalqiliya,2000,1.51
2001,Qalqiliya,2001,1.51
2002,Qalqiliya,2002,1.51
2003,Qalqiliya,2003,1.51
2004,Qalqiliya,2004,1.51
2005,Qalqiliya,2005,1.51
2006,Qalqiliya,2006,1.51
2007,Qalqiliya,2007,1.51
2008,Qalqiliya,2008,1.51
2009,Qalqiliya,2009,1.51
2010,Qalqiliya,2010,1.51
2011,Qalqiliya,2011,1.51
2000,Salfit,2000,5.78
2001,Salfit,2001,5.83
2002,Salfit,2002,5.83
2003,Salfit,2003,5.83
2004,Salfit,2004,5.83
2005,Salfit,2005,5.83
2006,Salfit,2006,5.83
2007,Salfit,2007,5.78
2008,Salfit,2008,5.78
2009,Salfit,2009,5.78
2010,Salfit,2010,5.78
2011,Salfit,2011,5.78
2000,Ramallah & Al-Bireh,2000,0.25
2001,Ramallah & Al-Bireh,2001,0.27
2002,Ramallah & Al-Bireh,2002,0.27
2003,Ramallah & Al-Bireh,2003,0.27
2004,Ramallah & Al-Bireh,2004,0.27
2005,Ramallah & Al-Bireh,2005,0.27
2006,Ramallah & Al-Bireh,2006,0.27
2007,Ramallah & Al-Bireh,2007,0.25
2008,Ramallah & Al-Bireh,2008,0.25
2009,Ramallah & Al-Bireh,2009,0.25
2010,Ramallah & Al-Bireh,2010,0.25
2011,Ramallah & Al-Bireh,2011,0.25
2000,Jericho & AL Aghwar,2000,
2001,Jericho & AL Aghwar,2001,
2002,Jericho & AL Aghwar,2002,
2003,Jericho & AL Aghwar,2003,
2004,Jericho & AL Aghwar,2004,
2005,Jericho & AL Aghwar,2005,
2006,Jericho & AL Aghwar,2006,
2007,Jericho & AL Aghwar,2007,0.59
2008,Jericho & AL Aghwar,2008,0.59
2009,Jericho & AL Aghwar,2009,0.59
2010,Jericho & AL Aghwar,2010,0.59
2011,Jericho & AL Aghwar,2011,0.59
2000,Jerusalem,2000,0.58
2001,Jerusalem,2001,0.58
2002,Jerusalem,2002,0.58
2003,Jerusalem,2003,0.58
2004,Jerusalem,2004,0.58
2005,Jerusalem,2005,0.58
2006,Jerusalem,2006,0.58
2007,Jerusalem,2007,0.58
2008,Jerusalem,2008,0.58
2009,Jerusalem,2009,0.58
2010,Jerusalem,2010,0.58
2011,Jerusalem,2011,0.58
2000,Bethlehem,2000,0.21
2001,Bethlehem,2001,0.21
2002,Bethlehem,2002,0.21
2003,Bethlehem,2003,0.21
2004,Bethlehem,2004,0.21
2005,Bethlehem,2005,0.21
2006,Bethlehem,2006,0.21
2007,Bethlehem,2007,0.21
2008,Bethlehem,2008,0.21
2009,Bethlehem,2009,0.21
2010,Bethlehem,2010,0.21
2011,Bethlehem,2011,0.21
2000,Hebron,2000,0.9
2001,Hebron,2001,0.93
2002,Hebron,2002,0.93
2003,Hebron,2003,0.93
2004,Hebron,2004,0.93
2005,Hebron,2005,0.93
2006,Hebron,2006,0.93
2007,Hebron,2007,0.9
2008,Hebron,2008,0.9
2009,Hebron,2009,0.9
2010,Hebron,2010,0.94
2011,Hebron,2011,0.94
