Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,N,2001,DC_ODA_BDVDL,NUMBER,2.37
2002,N,2002,DC_ODA_BDVDL,NUMBER,1.39
2003,N,2003,DC_ODA_BDVDL,NUMBER,0.43
2004,N,2004,DC_ODA_BDVDL,NUMBER,0.6
2005,N,2005,DC_ODA_BDVDL,NUMBER,10.78
2006,N,2006,DC_ODA_BDVDL,NUMBER,1.25
2007,N,2007,DC_ODA_BDVDL,NUMBER,4.16
2008,N,2008,DC_ODA_BDVDL,NUMBER,7.01
2009,N,2009,DC_ODA_BDVDL,NUMBER,7.71
2010,N,2010,DC_ODA_BDVDL,NUMBER,2.9
2011,N,2011,DC_ODA_BDVDL,NUMBER,14.85
2012,N,2012,DC_ODA_BDVDL,NUMBER,20.29
2013,N,2013,DC_ODA_BDVDL,NUMBER,10.35
2014,N,2014,DC_ODA_BDVDL,NUMBER,21.04
2015,N,2015,DC_ODA_BDVDL,NUMBER,15.87
2016,N,2016,DC_ODA_BDVDL,NUMBER,15.87
2017,N,2017,DC_ODA_BDVDL,NUMBER,16.9
