Year,AREA,Value
2007,West Bank,63.4
2008,West Bank,65.6
2009,West Bank,66.4
2010,West Bank,66.6
2011,West Bank,70.5
2012,West Bank,71.1
2013,West Bank,68.6
2014,West Bank,68.6
2015,West Bank,75.1
2017,West Bank,66.2
2007,Gaza Strip,80.7
2008,Gaza Strip,88.5
2009,Gaza Strip,97.0
2010,Gaza Strip,77.1
2011,Gaza Strip,80.2
2012,Gaza Strip,85.1
2013,Gaza Strip,78.1
2014,Gaza Strip,113.7
2015,Gaza Strip,76.8
2017,Gaza Strip,72.0
2007,Palestine,70.0
2008,Palestine,74.2
2009,Palestine,77.8
2010,Palestine,70.6
2011,Palestine,74.2
2012,Palestine,76.4
2013,Palestine,72.2
2014,Palestine,85.9
2015,Palestine,75.8
2017,Palestine,68.4
