Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2014,M,West Bank,N,2014,SH_STA_WAST,PT,
2019,M,West Bank,N,2019,SH_STA_WAST,PT,
2014,M,Gaza Strip,N,2014,SH_STA_WAST,PT,
2019,M,Gaza Strip,N,2019,SH_STA_WAST,PT,
2014,M,PS,N,2014,SH_STA_WAST,PT,9.1
2019,M,PS,N,2019,SH_STA_WAST,PT,10.2
2014,F,West Bank,N,2014,SH_STA_WAST,PT,
2019,F,West Bank,N,2019,SH_STA_WAST,PT,
2014,F,Gaza Strip,N,2014,SH_STA_WAST,PT,
2019,F,Gaza Strip,N,2019,SH_STA_WAST,PT,
2014,F,PS,N,2014,SH_STA_WAST,PT,7.1
2019,F,PS,N,2019,SH_STA_WAST,PT,6.9
2014,_T,West Bank,N,2014,SH_STA_WAST,PT,9.8
2019,_T,West Bank,N,2019,SH_STA_WAST,PT,10.9
2014,_T,Gaza Strip,N,2014,SH_STA_WAST,PT,6.5
2019,_T,Gaza Strip,N,2019,SH_STA_WAST,PT,5.8
2014,_T,PS,N,2014,SH_STA_WAST,PT,8.2
2019,_T,PS,N,2019,SH_STA_WAST,PT,8.6
