Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,SH_PRV_SMOK,NUMBER,
2004,M,West Bank,N,2004,SH_PRV_SMOK,NUMBER,
2006,M,West Bank,N,2006,SH_PRV_SMOK,NUMBER,
2010,M,West Bank,N,2010,SH_PRV_SMOK,NUMBER,
2019,M,West Bank,N,2019,SH_PRV_SMOK,NUMBER,
2000,M,Gaza Strip,N,2000,SH_PRV_SMOK,NUMBER,
2004,M,Gaza Strip,N,2004,SH_PRV_SMOK,NUMBER,
2006,M,Gaza Strip,N,2006,SH_PRV_SMOK,NUMBER,
2010,M,Gaza Strip,N,2010,SH_PRV_SMOK,NUMBER,
2019,M,Gaza Strip,N,2019,SH_PRV_SMOK,NUMBER,
2000,M,PS,N,2000,SH_PRV_SMOK,NUMBER,46.2
2004,M,PS,N,2004,SH_PRV_SMOK,NUMBER,41.8
2006,M,PS,N,2006,SH_PRV_SMOK,NUMBER,42.2
2010,M,PS,N,2010,SH_PRV_SMOK,NUMBER,36.5
2019,M,PS,N,2019,SH_PRV_SMOK,NUMBER,51.2
2000,F,West Bank,N,2000,SH_PRV_SMOK,NUMBER,
2004,F,West Bank,N,2004,SH_PRV_SMOK,NUMBER,
2006,F,West Bank,N,2006,SH_PRV_SMOK,NUMBER,
2010,F,West Bank,N,2010,SH_PRV_SMOK,NUMBER,
2019,F,West Bank,N,2019,SH_PRV_SMOK,NUMBER,
2000,F,Gaza Strip,N,2000,SH_PRV_SMOK,NUMBER,
2004,F,Gaza Strip,N,2004,SH_PRV_SMOK,NUMBER,
2006,F,Gaza Strip,N,2006,SH_PRV_SMOK,NUMBER,
2010,F,Gaza Strip,N,2010,SH_PRV_SMOK,NUMBER,
2019,F,Gaza Strip,N,2019,SH_PRV_SMOK,NUMBER,
2000,F,PS,N,2000,SH_PRV_SMOK,NUMBER,3.5
2004,F,PS,N,2004,SH_PRV_SMOK,NUMBER,2.4
2006,F,PS,N,2006,SH_PRV_SMOK,NUMBER,2.4
2010,F,PS,N,2010,SH_PRV_SMOK,NUMBER,1.9
2019,F,PS,N,2019,SH_PRV_SMOK,NUMBER,7.3
2000,_T,West Bank,N,2000,SH_PRV_SMOK,NUMBER,26.8
2004,_T,West Bank,N,2004,SH_PRV_SMOK,NUMBER,24.8
2006,_T,West Bank,N,2006,SH_PRV_SMOK,NUMBER,25.4
2010,_T,West Bank,N,2010,SH_PRV_SMOK,NUMBER,23.7
2019,_T,West Bank,N,2019,SH_PRV_SMOK,NUMBER,36.2
2000,_T,Gaza Strip,N,2000,SH_PRV_SMOK,NUMBER,21.3
2004,_T,Gaza Strip,N,2004,SH_PRV_SMOK,NUMBER,17.5
2006,_T,Gaza Strip,N,2006,SH_PRV_SMOK,NUMBER,17.2
2010,_T,Gaza Strip,N,2010,SH_PRV_SMOK,NUMBER,12.1
2019,_T,Gaza Strip,N,2019,SH_PRV_SMOK,NUMBER,18.3
2000,_T,PS,N,2000,SH_PRV_SMOK,NUMBER,24.9
2004,_T,PS,N,2004,SH_PRV_SMOK,NUMBER,22.3
2006,_T,PS,N,2006,SH_PRV_SMOK,NUMBER,22.5
2010,_T,PS,N,2010,SH_PRV_SMOK,NUMBER,19.4
2019,_T,PS,N,2019,SH_PRV_SMOK,NUMBER,29.5
