Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,N,2000,DC_TOF_HLTHL,NUMBER,20.92
2001,N,2001,DC_TOF_HLTHL,NUMBER,10.17
2002,N,2002,DC_TOF_HLTHL,NUMBER,17.92
2003,N,2003,DC_TOF_HLTHL,NUMBER,21.97
2004,N,2004,DC_TOF_HLTHL,NUMBER,45.22
2005,N,2005,DC_TOF_HLTHL,NUMBER,41.82
2006,N,2006,DC_TOF_HLTHL,NUMBER,64.7
2007,N,2007,DC_TOF_HLTHL,NUMBER,57.55
2008,N,2008,DC_TOF_HLTHL,NUMBER,66.94
2009,N,2009,DC_TOF_HLTHL,NUMBER,69.71
2010,N,2010,DC_TOF_HLTHL,NUMBER,71.72
2011,N,2011,DC_TOF_HLTHL,NUMBER,65.4
2012,N,2012,DC_TOF_HLTHL,NUMBER,71.79
2013,N,2013,DC_TOF_HLTHL,NUMBER,57.35
2014,N,2014,DC_TOF_HLTHL,NUMBER,69.59
2015,N,2015,DC_TOF_HLTHL,NUMBER,114.65
2016,N,2016,DC_TOF_HLTHL,NUMBER,87.4
2017,N,2017,DC_TOF_HLTHL,NUMBER,161.58
2018,N,2018,DC_TOF_HLTHL,NUMBER,121.62
