Year,SEX,AGE,TIME_DETAIL,Value
2018,Male,All age ranges or no breakdown by age,2018,18.0
2018,Male,15 to 24 years old,2018,
2018,Male,25 to 64 years old,2018,
2018,Male,65 years old and over,2018,
2018,Female,All age ranges or no breakdown by age,2018,22.8
2018,Female,15 to 24 years old,2018,
2018,Female,25 to 64 years old,2018,
2018,Female,65 years old and over,2018,
2018,Both sexes or no breakdown by sex,All age ranges or no breakdown by age,2018,20.4
2018,Both sexes or no breakdown by sex,15 to 24 years old,2018,53.3
2018,Both sexes or no breakdown by sex,25 to 64 years old,2018,4.6
2018,Both sexes or no breakdown by sex,65 years old and over,2018,0.9
