Year,URBANISATION,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2010,_T,West Bank,2010,SH_H2O_SAFE,,90.1
2014,_T,West Bank,2014,SH_H2O_SAFE,,96.8
2017,_T,West Bank,2017,SH_H2O_SAFE,,94.7
2010,_T,Gaza Strip,2010,SH_H2O_SAFE,,13.7
2014,_T,Gaza Strip,2014,SH_H2O_SAFE,,10.4
2017,_T,Gaza Strip,2017,SH_H2O_SAFE,,11.3
2010,_T,PS,2010,SH_H2O_SAFE,,61.9
2014,_T,PS,2014,SH_H2O_SAFE,,61.5
2017,_T,PS,2017,SH_H2O_SAFE,,59.1
2010,_T,Jenin,2010,SH_H2O_SAFE,,70.4
2014,_T,Jenin,2014,SH_H2O_SAFE,,87.3
2017,_T,Jenin,2017,SH_H2O_SAFE,,90.7
2010,_T,Tubas & Northern Valleys,2010,SH_H2O_SAFE,,59.1
2014,_T,Tubas & Northern Valleys,2014,SH_H2O_SAFE,,100.0
2017,_T,Tubas & Northern Valleys,2017,SH_H2O_SAFE,,97.6
2010,_T,Tulkarm,2010,SH_H2O_SAFE,,99.7
2014,_T,Tulkarm,2014,SH_H2O_SAFE,,99.5
2017,_T,Tulkarm,2017,SH_H2O_SAFE,,99.9
2010,_T,Nablus,2010,SH_H2O_SAFE,,94.1
2014,_T,Nablus,2014,SH_H2O_SAFE,,97.3
2017,_T,Nablus,2017,SH_H2O_SAFE,,97.9
2010,_T,Qalqiliya,2010,SH_H2O_SAFE,,99.5
2014,_T,Qalqiliya,2014,SH_H2O_SAFE,,100.0
2017,_T,Qalqiliya,2017,SH_H2O_SAFE,,99.8
2010,_T,Salfit,2010,SH_H2O_SAFE,,100.0
2014,_T,Salfit,2014,SH_H2O_SAFE,,100.0
2017,_T,Salfit,2017,SH_H2O_SAFE,,99.9
2010,_T,Ramallah & Al-Bireh,2010,SH_H2O_SAFE,,96.9
2014,_T,Ramallah & Al-Bireh,2014,SH_H2O_SAFE,,98.7
2017,_T,Ramallah & Al-Bireh,2017,SH_H2O_SAFE,,99.1
2010,_T,Jericho & AL Aghwar,2010,SH_H2O_SAFE,,90.0
2014,_T,Jericho & AL Aghwar,2014,SH_H2O_SAFE,,97.4
2017,_T,Jericho & AL Aghwar,2017,SH_H2O_SAFE,,94.3
2010,_T,Jerusalem,2010,SH_H2O_SAFE,,99.0
2014,_T,Jerusalem,2014,SH_H2O_SAFE,,99.8
2017,_T,Jerusalem,2017,SH_H2O_SAFE,,99.3
2010,_T,Bethlehem,2010,SH_H2O_SAFE,,97.8
2014,_T,Bethlehem,2014,SH_H2O_SAFE,,99.5
2017,_T,Bethlehem,2017,SH_H2O_SAFE,,99.0
2010,_T,Hebron,2010,SH_H2O_SAFE,,82.7
2014,_T,Hebron,2014,SH_H2O_SAFE,,95.7
2017,_T,Hebron,2017,SH_H2O_SAFE,,87.8
2010,_T,North Gaza,2010,SH_H2O_SAFE,,19.7
2014,_T,North Gaza,2014,SH_H2O_SAFE,,16.8
2017,_T,North Gaza,2017,SH_H2O_SAFE,,14.4
2010,_T,Gaza,2010,SH_H2O_SAFE,,8.3
2014,_T,Gaza,2014,SH_H2O_SAFE,,3.9
2017,_T,Gaza,2017,SH_H2O_SAFE,,10.8
2010,_T,Dier Al-Balah,2010,SH_H2O_SAFE,,4.4
2014,_T,Dier Al-Balah,2014,SH_H2O_SAFE,,3.2
2017,_T,Dier Al-Balah,2017,SH_H2O_SAFE,,6.3
2010,_T,Khan Yunis,2010,SH_H2O_SAFE,,20.5
2014,_T,Khan Yunis,2014,SH_H2O_SAFE,,20.8
2017,_T,Khan Yunis,2017,SH_H2O_SAFE,,14.2
2010,_T,Rafah,2010,SH_H2O_SAFE,,18.8
2014,_T,Rafah,2014,SH_H2O_SAFE,,12.6
2017,_T,Rafah,2017,SH_H2O_SAFE,,8.9
2010,U,West Bank,2010,SH_H2O_SAFE,,
2014,U,West Bank,2014,SH_H2O_SAFE,,
2017,U,West Bank,2017,SH_H2O_SAFE,,
2010,U,Gaza Strip,2010,SH_H2O_SAFE,,
2014,U,Gaza Strip,2014,SH_H2O_SAFE,,
2017,U,Gaza Strip,2017,SH_H2O_SAFE,,
2010,U,PS,2010,SH_H2O_SAFE,,59.6
2014,U,PS,2014,SH_H2O_SAFE,,58.1
2017,U,PS,2017,SH_H2O_SAFE,,54.1
2010,U,Jenin,2010,SH_H2O_SAFE,,
2014,U,Jenin,2014,SH_H2O_SAFE,,
2017,U,Jenin,2017,SH_H2O_SAFE,,
2010,U,Tubas & Northern Valleys,2010,SH_H2O_SAFE,,
2014,U,Tubas & Northern Valleys,2014,SH_H2O_SAFE,,
2017,U,Tubas & Northern Valleys,2017,SH_H2O_SAFE,,
2010,U,Tulkarm,2010,SH_H2O_SAFE,,
2014,U,Tulkarm,2014,SH_H2O_SAFE,,
2017,U,Tulkarm,2017,SH_H2O_SAFE,,
2010,U,Nablus,2010,SH_H2O_SAFE,,
2014,U,Nablus,2014,SH_H2O_SAFE,,
2017,U,Nablus,2017,SH_H2O_SAFE,,
2010,U,Qalqiliya,2010,SH_H2O_SAFE,,
2014,U,Qalqiliya,2014,SH_H2O_SAFE,,
2017,U,Qalqiliya,2017,SH_H2O_SAFE,,
2010,U,Salfit,2010,SH_H2O_SAFE,,
2014,U,Salfit,2014,SH_H2O_SAFE,,
2017,U,Salfit,2017,SH_H2O_SAFE,,
2010,U,Ramallah & Al-Bireh,2010,SH_H2O_SAFE,,
2014,U,Ramallah & Al-Bireh,2014,SH_H2O_SAFE,,
2017,U,Ramallah & Al-Bireh,2017,SH_H2O_SAFE,,
2010,U,Jericho & AL Aghwar,2010,SH_H2O_SAFE,,
2014,U,Jericho & AL Aghwar,2014,SH_H2O_SAFE,,
2017,U,Jericho & AL Aghwar,2017,SH_H2O_SAFE,,
2010,U,Jerusalem,2010,SH_H2O_SAFE,,
2014,U,Jerusalem,2014,SH_H2O_SAFE,,
2017,U,Jerusalem,2017,SH_H2O_SAFE,,
