Year,URBANISATION,AREA,Value
0,Total,West Bank,99.4
2000,Total,West Bank,99.4
2002,Total,West Bank,98.8
2003,Total,West Bank,98.4
2004,Total,West Bank,98.6
2005,Total,West Bank,99.2
2006,Total,West Bank,99.2
2007,Total,West Bank,98.8
2008,Total,West Bank,98.8
2009,Total,West Bank,99.0
2010,Total,West Bank,88.0
2011,Total,West Bank,98.8
2012,Total,West Bank,99.4
2013,Total,West Bank,99.3
2014,Total,West Bank,98.8
2015,Total,West Bank,98.8
2017,Total,West Bank,99.6
0,Total,Gaza Strip,
2000,Total,Gaza Strip,100.0
2002,Total,Gaza Strip,99.3
2003,Total,Gaza Strip,99.5
2004,Total,Gaza Strip,100.0
2005,Total,Gaza Strip,99.6
2006,Total,Gaza Strip,99.7
2007,Total,Gaza Strip,99.9
2008,Total,Gaza Strip,99.8
2009,Total,Gaza Strip,99.8
2010,Total,Gaza Strip,95.5
2011,Total,Gaza Strip,100.0
2012,Total,Gaza Strip,100.0
2013,Total,Gaza Strip,100.0
2014,Total,Gaza Strip,98.4
2015,Total,Gaza Strip,100.0
2017,Total,Gaza Strip,99.9
0,Total,Palestine,
2000,Total,Palestine,99.6
2002,Total,Palestine,99.0
2003,Total,Palestine,99.8
2004,Total,Palestine,99.0
2005,Total,Palestine,99.4
2006,Total,Palestine,99.3
2007,Total,Palestine,99.2
2008,Total,Palestine,99.2
2009,Total,Palestine,99.3
2010,Total,Palestine,90.8
2011,Total,Palestine,99.3
2012,Total,Palestine,99.6
2013,Total,Palestine,99.5
2014,Total,Palestine,98.6
2015,Total,Palestine,99.2
2017,Total,Palestine,99.7
0,Total,Jenin,
2000,Total,Jenin,
2002,Total,Jenin,
2003,Total,Jenin,
2004,Total,Jenin,
2005,Total,Jenin,
2006,Total,Jenin,
2007,Total,Jenin,99.8
2008,Total,Jenin,
2009,Total,Jenin,
2010,Total,Jenin,85.8
2011,Total,Jenin,
2012,Total,Jenin,
2013,Total,Jenin,
2014,Total,Jenin,98.4
2015,Total,Jenin,
2017,Total,Jenin,99.9
0,Total,Tubas & Northern Valleys,
2000,Total,Tubas & Northern Valleys,
2002,Total,Tubas & Northern Valleys,
2003,Total,Tubas & Northern Valleys,
2004,Total,Tubas & Northern Valleys,
2005,Total,Tubas & Northern Valleys,
