Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2001,2001,NUMBER,EG_FEC_RNEW,17.6
2002,2002,NUMBER,EG_FEC_RNEW,24.0
2003,2003,NUMBER,EG_FEC_RNEW,24.9
2004,2004,NUMBER,EG_FEC_RNEW,24.3
2005,2005,NUMBER,EG_FEC_RNEW,25.4
2006,2006,NUMBER,EG_FEC_RNEW,20.7
2007,2007,NUMBER,EG_FEC_RNEW,22.9
2008,2008,NUMBER,EG_FEC_RNEW,20.3
2009,2009,NUMBER,EG_FEC_RNEW,17.6
2010,2010,NUMBER,EG_FEC_RNEW,19.4
2011,2011,NUMBER,EG_FEC_RNEW,20.1
2012,2012,NUMBER,EG_FEC_RNEW,16.2
2013,2013,NUMBER,EG_FEC_RNEW,15.4
2014,2014,NUMBER,EG_FEC_RNEW,13.8
2015,2015,NUMBER,EG_FEC_RNEW,13.8
2016,2016,NUMBER,EG_FEC_RNEW,13.6
2017,2017,NUMBER,EG_FEC_RNEW,10.3
