Year,SEX,REF_AREA,OCCUPATION,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,_T,2000,SL_EMP_EARN,NUMBER,
2001,M,West Bank,_T,2001,SL_EMP_EARN,NUMBER,
2002,M,West Bank,_T,2002,SL_EMP_EARN,NUMBER,
2003,M,West Bank,_T,2003,SL_EMP_EARN,NUMBER,
2004,M,West Bank,_T,2004,SL_EMP_EARN,NUMBER,
2005,M,West Bank,_T,2005,SL_EMP_EARN,NUMBER,
2006,M,West Bank,_T,2006,SL_EMP_EARN,NUMBER,
2007,M,West Bank,_T,2007,SL_EMP_EARN,NUMBER,
2008,M,West Bank,_T,2008,SL_EMP_EARN,NUMBER,
2009,M,West Bank,_T,2009,SL_EMP_EARN,NUMBER,
2010,M,West Bank,_T,2010,SL_EMP_EARN,NUMBER,
2011,M,West Bank,_T,2011,SL_EMP_EARN,NUMBER,
2012,M,West Bank,_T,2012,SL_EMP_EARN,NUMBER,
2013,M,West Bank,_T,2013,SL_EMP_EARN,NUMBER,
2014,M,West Bank,_T,2014,SL_EMP_EARN,NUMBER,
2015,M,West Bank,_T,2015,SL_EMP_EARN,NUMBER,
2016,M,West Bank,_T,2016,SL_EMP_EARN,NUMBER,
2017,M,West Bank,_T,2017,SL_EMP_EARN,NUMBER,
2018,M,West Bank,_T,2018,SL_EMP_EARN,NUMBER,
2000,M,West Bank,ISCO08_3,2000,SL_EMP_EARN,NUMBER,
2001,M,West Bank,ISCO08_3,2001,SL_EMP_EARN,NUMBER,
2002,M,West Bank,ISCO08_3,2002,SL_EMP_EARN,NUMBER,
2003,M,West Bank,ISCO08_3,2003,SL_EMP_EARN,NUMBER,
2004,M,West Bank,ISCO08_3,2004,SL_EMP_EARN,NUMBER,
2005,M,West Bank,ISCO08_3,2005,SL_EMP_EARN,NUMBER,
2006,M,West Bank,ISCO08_3,2006,SL_EMP_EARN,NUMBER,
2007,M,West Bank,ISCO08_3,2007,SL_EMP_EARN,NUMBER,
2008,M,West Bank,ISCO08_3,2008,SL_EMP_EARN,NUMBER,
2009,M,West Bank,ISCO08_3,2009,SL_EMP_EARN,NUMBER,
2010,M,West Bank,ISCO08_3,2010,SL_EMP_EARN,NUMBER,
2011,M,West Bank,ISCO08_3,2011,SL_EMP_EARN,NUMBER,
2012,M,West Bank,ISCO08_3,2012,SL_EMP_EARN,NUMBER,
2013,M,West Bank,ISCO08_3,2013,SL_EMP_EARN,NUMBER,
2014,M,West Bank,ISCO08_3,2014,SL_EMP_EARN,NUMBER,
2015,M,West Bank,ISCO08_3,2015,SL_EMP_EARN,NUMBER,
2016,M,West Bank,ISCO08_3,2016,SL_EMP_EARN,NUMBER,
2017,M,West Bank,ISCO08_3,2017,SL_EMP_EARN,NUMBER,
2018,M,West Bank,ISCO08_3,2018,SL_EMP_EARN,NUMBER,
2000,M,West Bank,ISCO08_5,2000,SL_EMP_EARN,NUMBER,
2001,M,West Bank,ISCO08_5,2001,SL_EMP_EARN,NUMBER,
2002,M,West Bank,ISCO08_5,2002,SL_EMP_EARN,NUMBER,
2003,M,West Bank,ISCO08_5,2003,SL_EMP_EARN,NUMBER,
2004,M,West Bank,ISCO08_5,2004,SL_EMP_EARN,NUMBER,
2005,M,West Bank,ISCO08_5,2005,SL_EMP_EARN,NUMBER,
2006,M,West Bank,ISCO08_5,2006,SL_EMP_EARN,NUMBER,
2007,M,West Bank,ISCO08_5,2007,SL_EMP_EARN,NUMBER,
2008,M,West Bank,ISCO08_5,2008,SL_EMP_EARN,NUMBER,
2009,M,West Bank,ISCO08_5,2009,SL_EMP_EARN,NUMBER,
2010,M,West Bank,ISCO08_5,2010,SL_EMP_EARN,NUMBER,
2011,M,West Bank,ISCO08_5,2011,SL_EMP_EARN,NUMBER,
2012,M,West Bank,ISCO08_5,2012,SL_EMP_EARN,NUMBER,
2013,M,West Bank,ISCO08_5,2013,SL_EMP_EARN,NUMBER,
2014,M,West Bank,ISCO08_5,2014,SL_EMP_EARN,NUMBER,
2015,M,West Bank,ISCO08_5,2015,SL_EMP_EARN,NUMBER,
2016,M,West Bank,ISCO08_5,2016,SL_EMP_EARN,NUMBER,
2017,M,West Bank,ISCO08_5,2017,SL_EMP_EARN,NUMBER,
