Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,N,2000,ST_GDP_ZS,PT,
2002,West Bank,N,2002,ST_GDP_ZS,PT,
2007,West Bank,N,2007,ST_GDP_ZS,PT,
2009,West Bank,N,2009,ST_GDP_ZS,PT,2.6
2010,West Bank,N,2010,ST_GDP_ZS,PT,
2011,West Bank,N,2011,ST_GDP_ZS,PT,
2012,West Bank,N,2012,ST_GDP_ZS,PT,
2013,West Bank,N,2013,ST_GDP_ZS,PT,
2014,West Bank,N,2014,ST_GDP_ZS,PT,
2015,West Bank,N,2015,ST_GDP_ZS,PT,
2016,West Bank,N,2016,ST_GDP_ZS,PT,
2017,West Bank,N,2017,ST_GDP_ZS,PT,
2018,West Bank,N,2018,ST_GDP_ZS,PT,
2000,Gaza Strip,N,2000,ST_GDP_ZS,PT,
2002,Gaza Strip,N,2002,ST_GDP_ZS,PT,
2007,Gaza Strip,N,2007,ST_GDP_ZS,PT,
2009,Gaza Strip,N,2009,ST_GDP_ZS,PT,0.64
2010,Gaza Strip,N,2010,ST_GDP_ZS,PT,
2011,Gaza Strip,N,2011,ST_GDP_ZS,PT,
2012,Gaza Strip,N,2012,ST_GDP_ZS,PT,
2013,Gaza Strip,N,2013,ST_GDP_ZS,PT,
2014,Gaza Strip,N,2014,ST_GDP_ZS,PT,
2015,Gaza Strip,N,2015,ST_GDP_ZS,PT,
2016,Gaza Strip,N,2016,ST_GDP_ZS,PT,
2017,Gaza Strip,N,2017,ST_GDP_ZS,PT,
2018,Gaza Strip,N,2018,ST_GDP_ZS,PT,
2000,PS,N,2000,ST_GDP_ZS,PT,1.1
2002,PS,N,2002,ST_GDP_ZS,PT,0.3
2007,PS,N,2007,ST_GDP_ZS,PT,3.5
2009,PS,N,2009,ST_GDP_ZS,PT,2.2
2010,PS,N,2010,ST_GDP_ZS,PT,2.5
2011,PS,N,2011,ST_GDP_ZS,PT,1.9
2012,PS,N,2012,ST_GDP_ZS,PT,2.7
2013,PS,N,2013,ST_GDP_ZS,PT,2.1
2014,PS,N,2014,ST_GDP_ZS,PT,2.6
2015,PS,N,2015,ST_GDP_ZS,PT,1.7
2016,PS,N,2016,ST_GDP_ZS,PT,2.2
2017,PS,N,2017,ST_GDP_ZS,PT,2.6
2018,PS,N,2018,ST_GDP_ZS,PT,2.5
