Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,2000,NV_IND_SSIS,,28.7
2001,West Bank,2001,NV_IND_SSIS,,30.8
2002,West Bank,2002,NV_IND_SSIS,,35.4
2003,West Bank,2003,NV_IND_SSIS,,25.4
2004,West Bank,2004,NV_IND_SSIS,,26.8
2005,West Bank,2005,NV_IND_SSIS,,29.9
2006,West Bank,2006,NV_IND_SSIS,,23.4
2007,West Bank,2007,NV_IND_SSIS,,21.2
2008,West Bank,2008,NV_IND_SSIS,,19.7
2009,West Bank,2009,NV_IND_SSIS,,23.6
2010,West Bank,2010,NV_IND_SSIS,,22.8
2012,West Bank,2012,NV_IND_SSIS,,17.1
2013,West Bank,2013,NV_IND_SSIS,,16.7
2014,West Bank,2014,NV_IND_SSIS,,17.4
2015,West Bank,2015,NV_IND_SSIS,,20.1
2016,West Bank,2016,NV_IND_SSIS,,19.6
2017,West Bank,2017,NV_IND_SSIS,,14.6
2018,West Bank,2018,NV_IND_SSIS,,15.9
2019,West Bank,2019,NV_IND_SSIS,,21.8
2000,Gaza Strip,2000,NV_IND_SSIS,,24.2
2001,Gaza Strip,2001,NV_IND_SSIS,,33.1
2002,Gaza Strip,2002,NV_IND_SSIS,,43.1
2003,Gaza Strip,2003,NV_IND_SSIS,,28.5
2004,Gaza Strip,2004,NV_IND_SSIS,,32.4
2005,Gaza Strip,2005,NV_IND_SSIS,,35.9
2006,Gaza Strip,2006,NV_IND_SSIS,,23.0
2007,Gaza Strip,2007,NV_IND_SSIS,,50.3
2008,Gaza Strip,2008,NV_IND_SSIS,,46.7
2009,Gaza Strip,2009,NV_IND_SSIS,,57.1
2010,Gaza Strip,2010,NV_IND_SSIS,,27.0
2012,Gaza Strip,2012,NV_IND_SSIS,,28.9
2013,Gaza Strip,2013,NV_IND_SSIS,,37.0
2014,Gaza Strip,2014,NV_IND_SSIS,,22.5
2015,Gaza Strip,2015,NV_IND_SSIS,,24.4
2016,Gaza Strip,2016,NV_IND_SSIS,,24.0
2017,Gaza Strip,2017,NV_IND_SSIS,,25.5
2018,Gaza Strip,2018,NV_IND_SSIS,,29.6
2019,Gaza Strip,2019,NV_IND_SSIS,,34.1
2000,PS,2000,NV_IND_SSIS,,27.6
2001,PS,2001,NV_IND_SSIS,,31.5
2002,PS,2002,NV_IND_SSIS,,37.2
2003,PS,2003,NV_IND_SSIS,,26.2
2004,PS,2004,NV_IND_SSIS,,28.0
2005,PS,2005,NV_IND_SSIS,,31.1
2006,PS,2006,NV_IND_SSIS,,23.3
2007,PS,2007,NV_IND_SSIS,,23.0
2008,PS,2008,NV_IND_SSIS,,21.0
2009,PS,2009,NV_IND_SSIS,,25.5
2010,PS,2010,NV_IND_SSIS,,23.4
2012,PS,2012,NV_IND_SSIS,,18.9
2013,PS,2013,NV_IND_SSIS,,19.4
2014,PS,2014,NV_IND_SSIS,,18.2
2015,PS,2015,NV_IND_SSIS,,21.0
2016,PS,2016,NV_IND_SSIS,,20.3
2017,PS,2017,NV_IND_SSIS,,16.1
2018,PS,2018,NV_IND_SSIS,,17.6
2019,PS,2019,NV_IND_SSIS,,22.6
