Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2009,M,West Bank,N,2009,,NUMBER,
2010,M,West Bank,N,2010,,NUMBER,
2011,M,West Bank,N,2011,,NUMBER,
2017,M,West Bank,N,2017,,NUMBER,
2009,M,Gaza Strip,N,2009,,NUMBER,
2010,M,Gaza Strip,N,2010,,NUMBER,
2011,M,Gaza Strip,N,2011,,NUMBER,
2017,M,Gaza Strip,N,2017,,NUMBER,
2009,M,PS,N,2009,,NUMBER,26.1
2010,M,PS,N,2010,,NUMBER,25.3
2011,M,PS,N,2011,,NUMBER,25.5
2017,M,PS,N,2017,,NUMBER,28.8
2009,M,Jenin,N,2009,,NUMBER,
2010,M,Jenin,N,2010,,NUMBER,
2011,M,Jenin,N,2011,,NUMBER,
2017,M,Jenin,N,2017,,NUMBER,
2009,M,Tubas & Northern Valleys,N,2009,,NUMBER,
2010,M,Tubas & Northern Valleys,N,2010,,NUMBER,
2011,M,Tubas & Northern Valleys,N,2011,,NUMBER,
2017,M,Tubas & Northern Valleys,N,2017,,NUMBER,
2009,M,Tulkarm,N,2009,,NUMBER,
2010,M,Tulkarm,N,2010,,NUMBER,
2011,M,Tulkarm,N,2011,,NUMBER,
2017,M,Tulkarm,N,2017,,NUMBER,
2009,M,Nablus,N,2009,,NUMBER,
2010,M,Nablus,N,2010,,NUMBER,
2011,M,Nablus,N,2011,,NUMBER,
2017,M,Nablus,N,2017,,NUMBER,
2009,M,Qalqiliya,N,2009,,NUMBER,
2010,M,Qalqiliya,N,2010,,NUMBER,
2011,M,Qalqiliya,N,2011,,NUMBER,
2017,M,Qalqiliya,N,2017,,NUMBER,
2009,M,Salfit,N,2009,,NUMBER,
2010,M,Salfit,N,2010,,NUMBER,
2011,M,Salfit,N,2011,,NUMBER,
2017,M,Salfit,N,2017,,NUMBER,
2009,M,Ramallah & Al-Bireh,N,2009,,NUMBER,
2010,M,Ramallah & Al-Bireh,N,2010,,NUMBER,
2011,M,Ramallah & Al-Bireh,N,2011,,NUMBER,
2017,M,Ramallah & Al-Bireh,N,2017,,NUMBER,
2009,M,Jericho & AL Aghwar,N,2009,,NUMBER,
2010,M,Jericho & AL Aghwar,N,2010,,NUMBER,
2011,M,Jericho & AL Aghwar,N,2011,,NUMBER,
2017,M,Jericho & AL Aghwar,N,2017,,NUMBER,
2009,M,Bethlehem,N,2009,,NUMBER,
2010,M,Bethlehem,N,2010,,NUMBER,
2011,M,Bethlehem,N,2011,,NUMBER,
2017,M,Bethlehem,N,2017,,NUMBER,
2009,M,Hebron,N,2009,,NUMBER,
2010,M,Hebron,N,2010,,NUMBER,
2011,M,Hebron,N,2011,,NUMBER,
2017,M,Hebron,N,2017,,NUMBER,
2009,M,North Gaza,N,2009,,NUMBER,
2010,M,North Gaza,N,2010,,NUMBER,
2011,M,North Gaza,N,2011,,NUMBER,
2017,M,North Gaza,N,2017,,NUMBER,
2009,M,Gaza,N,2009,,NUMBER,
2010,M,Gaza,N,2010,,NUMBER,
2011,M,Gaza,N,2011,,NUMBER,
2017,M,Gaza,N,2017,,NUMBER,
2009,M,Dier Al-Balah,N,2009,,NUMBER,
2010,M,Dier Al-Balah,N,2010,,NUMBER,
2011,M,Dier Al-Balah,N,2011,,NUMBER,
2017,M,Dier Al-Balah,N,2017,,NUMBER,
2009,M,Khan Yunis,N,2009,,NUMBER,
2010,M,Khan Yunis,N,2010,,NUMBER,
2011,M,Khan Yunis,N,2011,,NUMBER,
2017,M,Khan Yunis,N,2017,,NUMBER,
2009,M,Rafah,N,2009,,NUMBER,
2010,M,Rafah,N,2010,,NUMBER,
2011,M,Rafah,N,2011,,NUMBER,
2017,M,Rafah,N,2017,,NUMBER,
2009,F,West Bank,N,2009,,NUMBER,
2010,F,West Bank,N,2010,,NUMBER,
2011,F,West Bank,N,2011,,NUMBER,
2017,F,West Bank,N,2017,,NUMBER,
2009,F,Gaza Strip,N,2009,,NUMBER,
2010,F,Gaza Strip,N,2010,,NUMBER,
2011,F,Gaza Strip,N,2011,,NUMBER,
2017,F,Gaza Strip,N,2017,,NUMBER,
2009,F,PS,N,2009,,NUMBER,26.4
2010,F,PS,N,2010,,NUMBER,26.2
2011,F,PS,N,2011,,NUMBER,26.2
2017,F,PS,N,2017,,NUMBER,29.7
2009,F,Jenin,N,2009,,NUMBER,
2010,F,Jenin,N,2010,,NUMBER,
2011,F,Jenin,N,2011,,NUMBER,
2017,F,Jenin,N,2017,,NUMBER,
2009,F,Tubas & Northern Valleys,N,2009,,NUMBER,
2010,F,Tubas & Northern Valleys,N,2010,,NUMBER,
2011,F,Tubas & Northern Valleys,N,2011,,NUMBER,
2017,F,Tubas & Northern Valleys,N,2017,,NUMBER,
2009,F,Tulkarm,N,2009,,NUMBER,
2010,F,Tulkarm,N,2010,,NUMBER,
2011,F,Tulkarm,N,2011,,NUMBER,
2017,F,Tulkarm,N,2017,,NUMBER,
2009,F,Nablus,N,2009,,NUMBER,
2010,F,Nablus,N,2010,,NUMBER,
2011,F,Nablus,N,2011,,NUMBER,
2017,F,Nablus,N,2017,,NUMBER,
2009,F,Qalqiliya,N,2009,,NUMBER,
2010,F,Qalqiliya,N,2010,,NUMBER,
2011,F,Qalqiliya,N,2011,,NUMBER,
2017,F,Qalqiliya,N,2017,,NUMBER,
2009,F,Salfit,N,2009,,NUMBER,
2010,F,Salfit,N,2010,,NUMBER,
2011,F,Salfit,N,2011,,NUMBER,
2017,F,Salfit,N,2017,,NUMBER,
2009,F,Ramallah & Al-Bireh,N,2009,,NUMBER,
2010,F,Ramallah & Al-Bireh,N,2010,,NUMBER,
2011,F,Ramallah & Al-Bireh,N,2011,,NUMBER,
2017,F,Ramallah & Al-Bireh,N,2017,,NUMBER,
2009,F,Jericho & AL Aghwar,N,2009,,NUMBER,
2010,F,Jericho & AL Aghwar,N,2010,,NUMBER,
2011,F,Jericho & AL Aghwar,N,2011,,NUMBER,
2017,F,Jericho & AL Aghwar,N,2017,,NUMBER,
2009,F,Bethlehem,N,2009,,NUMBER,
2010,F,Bethlehem,N,2010,,NUMBER,
2011,F,Bethlehem,N,2011,,NUMBER,
2017,F,Bethlehem,N,2017,,NUMBER,
2009,F,Hebron,N,2009,,NUMBER,
2010,F,Hebron,N,2010,,NUMBER,
2011,F,Hebron,N,2011,,NUMBER,
2017,F,Hebron,N,2017,,NUMBER,
2009,F,North Gaza,N,2009,,NUMBER,
2010,F,North Gaza,N,2010,,NUMBER,
2011,F,North Gaza,N,2011,,NUMBER,
2017,F,North Gaza,N,2017,,NUMBER,
2009,F,Gaza,N,2009,,NUMBER,
2010,F,Gaza,N,2010,,NUMBER,
2011,F,Gaza,N,2011,,NUMBER,
2017,F,Gaza,N,2017,,NUMBER,
2009,F,Dier Al-Balah,N,2009,,NUMBER,
2010,F,Dier Al-Balah,N,2010,,NUMBER,
2011,F,Dier Al-Balah,N,2011,,NUMBER,
2017,F,Dier Al-Balah,N,2017,,NUMBER,
2009,F,Khan Yunis,N,2009,,NUMBER,
2010,F,Khan Yunis,N,2010,,NUMBER,
2011,F,Khan Yunis,N,2011,,NUMBER,
2017,F,Khan Yunis,N,2017,,NUMBER,
2009,F,Rafah,N,2009,,NUMBER,
2010,F,Rafah,N,2010,,NUMBER,
2011,F,Rafah,N,2011,,NUMBER,
2017,F,Rafah,N,2017,,NUMBER,
2009,_T,West Bank,N,2009,,NUMBER,19.4
2010,_T,West Bank,N,2010,,NUMBER,18.3
2011,_T,West Bank,N,2011,,NUMBER,17.8
2017,_T,West Bank,N,2017,,NUMBER,13.9
2009,_T,Gaza Strip,N,2009,,NUMBER,38.3
2010,_T,Gaza Strip,N,2010,,NUMBER,38.0
2011,_T,Gaza Strip,N,2011,,NUMBER,38.8
2017,_T,Gaza Strip,N,2017,,NUMBER,53.0
2009,_T,PS,N,2009,,NUMBER,26.2
2010,_T,PS,N,2010,,NUMBER,25.7
2011,_T,PS,N,2011,,NUMBER,25.8
2017,_T,PS,N,2017,,NUMBER,29.2
2009,_T,Jenin,N,2009,,NUMBER,
2010,_T,Jenin,N,2010,,NUMBER,
2011,_T,Jenin,N,2011,,NUMBER,
2017,_T,Jenin,N,2017,,NUMBER,11.4
2009,_T,Tubas & Northern Valleys,N,2009,,NUMBER,
2010,_T,Tubas & Northern Valleys,N,2010,,NUMBER,
2011,_T,Tubas & Northern Valleys,N,2011,,NUMBER,
2017,_T,Tubas & Northern Valleys,N,2017,,NUMBER,15.4
2009,_T,Tulkarm,N,2009,,NUMBER,
2010,_T,Tulkarm,N,2010,,NUMBER,
2011,_T,Tulkarm,N,2011,,NUMBER,
2017,_T,Tulkarm,N,2017,,NUMBER,15.5
2009,_T,Nablus,N,2009,,NUMBER,
2010,_T,Nablus,N,2010,,NUMBER,
2011,_T,Nablus,N,2011,,NUMBER,
2017,_T,Nablus,N,2017,,NUMBER,16.6
2009,_T,Qalqiliya,N,2009,,NUMBER,
2010,_T,Qalqiliya,N,2010,,NUMBER,
2011,_T,Qalqiliya,N,2011,,NUMBER,
2017,_T,Qalqiliya,N,2017,,NUMBER,20.7
2009,_T,Salfit,N,2009,,NUMBER,
2010,_T,Salfit,N,2010,,NUMBER,
2011,_T,Salfit,N,2011,,NUMBER,
2017,_T,Salfit,N,2017,,NUMBER,14.1
2009,_T,Ramallah & Al-Bireh,N,2009,,NUMBER,
2010,_T,Ramallah & Al-Bireh,N,2010,,NUMBER,
2011,_T,Ramallah & Al-Bireh,N,2011,,NUMBER,
2017,_T,Ramallah & Al-Bireh,N,2017,,NUMBER,9.7
2009,_T,Jericho & AL Aghwar,N,2009,,NUMBER,
2010,_T,Jericho & AL Aghwar,N,2010,,NUMBER,
2011,_T,Jericho & AL Aghwar,N,2011,,NUMBER,
2017,_T,Jericho & AL Aghwar,N,2017,,NUMBER,15.7
2009,_T,Bethlehem,N,2009,,NUMBER,
2010,_T,Bethlehem,N,2010,,NUMBER,
2011,_T,Bethlehem,N,2011,,NUMBER,
2017,_T,Bethlehem,N,2017,,NUMBER,9.4
2009,_T,Hebron,N,2009,,NUMBER,
2010,_T,Hebron,N,2010,,NUMBER,
2011,_T,Hebron,N,2011,,NUMBER,
2017,_T,Hebron,N,2017,,NUMBER,20.3
2009,_T,North Gaza,N,2009,,NUMBER,
2010,_T,North Gaza,N,2010,,NUMBER,
2011,_T,North Gaza,N,2011,,NUMBER,
2017,_T,North Gaza,N,2017,,NUMBER,51.2
2009,_T,Gaza,N,2009,,NUMBER,
2010,_T,Gaza,N,2010,,NUMBER,
2011,_T,Gaza,N,2011,,NUMBER,
2017,_T,Gaza,N,2017,,NUMBER,51.6
2009,_T,Dier Al-Balah,N,2009,,NUMBER,
2010,_T,Dier Al-Balah,N,2010,,NUMBER,
2011,_T,Dier Al-Balah,N,2011,,NUMBER,
2017,_T,Dier Al-Balah,N,2017,,NUMBER,55.6
2009,_T,Khan Yunis,N,2009,,NUMBER,
2010,_T,Khan Yunis,N,2010,,NUMBER,
2011,_T,Khan Yunis,N,2011,,NUMBER,
2017,_T,Khan Yunis,N,2017,,NUMBER,54.2
2009,_T,Rafah,N,2009,,NUMBER,
2010,_T,Rafah,N,2010,,NUMBER,
2011,_T,Rafah,N,2011,,NUMBER,
2017,_T,Rafah,N,2017,,NUMBER,55.7
