Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,2000,NUMBER,VC_DSR_GDPLS,132365.95
2001,2001,NUMBER,VC_DSR_GDPLS,20033.77
2003,2003,NUMBER,VC_DSR_GDPLS,10732.37
2005,2005,NUMBER,VC_DSR_GDPLS,5775.0
2006,2006,NUMBER,VC_DSR_GDPLS,5775.0
2009,2009,NUMBER,VC_DSR_GDPLS,1042087.0
2010,2010,NUMBER,VC_DSR_GDPLS,435262.0
2012,2012,NUMBER,VC_DSR_GDPLS,230850.0
2013,2013,NUMBER,VC_DSR_GDPLS,3312975.0
2015,2015,NUMBER,VC_DSR_GDPLS,5488201.0
2016,2016,NUMBER,VC_DSR_GDPLS,5351218.0
2017,2017,NUMBER,VC_DSR_GDPLS,563823.0
