Year,URBANISATION,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2019,_T,M,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,_T,M,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,_T,M,PS,N,2019,VC_VAW_SXVLN,PT,3.5
2019,_T,F,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,_T,F,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,_T,F,PS,N,2019,VC_VAW_SXVLN,PT,1.8
2019,_T,_T,West Bank,N,2019,VC_VAW_SXVLN,PT,3.3
2019,_T,_T,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,2.1
2019,_T,_T,PS,N,2019,VC_VAW_SXVLN,PT,2.9
2019,U,M,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,U,M,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,U,M,PS,N,2019,VC_VAW_SXVLN,PT,
2019,U,F,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,U,F,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,U,F,PS,N,2019,VC_VAW_SXVLN,PT,
2019,U,_T,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,U,_T,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,U,_T,PS,N,2019,VC_VAW_SXVLN,PT,2.6
2019,R,M,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,R,M,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,R,M,PS,N,2019,VC_VAW_SXVLN,PT,
2019,R,F,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,R,F,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,R,F,PS,N,2019,VC_VAW_SXVLN,PT,
2019,R,_T,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,R,_T,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,R,_T,PS,N,2019,VC_VAW_SXVLN,PT,3.8
2019,Camp,M,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,M,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,M,PS,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,F,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,F,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,F,PS,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,_T,West Bank,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,_T,Gaza Strip,N,2019,VC_VAW_SXVLN,PT,
2019,Camp,_T,PS,N,2019,VC_VAW_SXVLN,PT,3.7
