Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,BX_TRF_PWKR,,20.2
2001,2001,BX_TRF_PWKR,,20.4
2002,2002,BX_TRF_PWKR,,22.0
2003,2003,BX_TRF_PWKR,,8.2
2004,2004,BX_TRF_PWKR,,9.4
2005,2005,BX_TRF_PWKR,,8.5
2006,2006,BX_TRF_PWKR,,9.5
2007,2007,BX_TRF_PWKR,,11.0
2008,2008,BX_TRF_PWKR,,11.2
2009,2009,BX_TRF_PWKR,,10.5
2010,2010,BX_TRF_PWKR,,10.6
2011,2011,BX_TRF_PWKR,,11.0
2012,2012,BX_TRF_PWKR,,15.5
2013,2013,BX_TRF_PWKR,,12.2
2014,2014,BX_TRF_PWKR,,14.4
2015,2015,BX_TRF_PWKR,,14.6
2016,2016,BX_TRF_PWKR,,15.7
2017,2017,BX_TRF_PWKR,,14.9
2018,2018,BX_TRF_PWKR,,19.6
2019,2019,BX_TRF_PWKR,,15.8
