Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,F,West Bank,N,2015,SH_STA_MORT,RO,14.8
2016,F,West Bank,N,2016,SH_STA_MORT,RO,14.8
2017,F,West Bank,N,2017,SH_STA_MORT,RO,14.8
2018,F,West Bank,N,2018,SH_STA_MORT,RO,14.8
2019,F,West Bank,N,2019,SH_STA_MORT,RO,11.5
2015,F,Gaza Strip,N,2015,SH_STA_MORT,RO,25.9
2016,F,Gaza Strip,N,2016,SH_STA_MORT,RO,15.5
2017,F,Gaza Strip,N,2017,SH_STA_MORT,RO,8.6
2018,F,Gaza Strip,N,2018,SH_STA_MORT,RO,19.1
2019,F,Gaza Strip,N,2019,SH_STA_MORT,RO,30.8
2015,F,PS,N,2015,SH_STA_MORT,RO,15.7
2016,F,PS,N,2016,SH_STA_MORT,RO,13.8
2017,F,PS,N,2017,SH_STA_MORT,RO,5.9
2018,F,PS,N,2018,SH_STA_MORT,RO,16.7
2019,F,PS,N,2019,SH_STA_MORT,RO,19.5
2015,_T,West Bank,N,2015,SH_STA_MORT,RO,7.2
2016,_T,West Bank,N,2016,SH_STA_MORT,RO,12.4
2017,_T,West Bank,N,2017,SH_STA_MORT,RO,3.8
2018,_T,West Bank,N,2018,SH_STA_MORT,RO,14.8
2019,_T,West Bank,N,2019,SH_STA_MORT,RO,11.5
2015,_T,Gaza Strip,N,2015,SH_STA_MORT,RO,25.9
2016,_T,Gaza Strip,N,2016,SH_STA_MORT,RO,15.5
2017,_T,Gaza Strip,N,2017,SH_STA_MORT,RO,8.6
2018,_T,Gaza Strip,N,2018,SH_STA_MORT,RO,19.1
2019,_T,Gaza Strip,N,2019,SH_STA_MORT,RO,30.8
2015,_T,PS,N,2015,SH_STA_MORT,RO,15.7
2016,_T,PS,N,2016,SH_STA_MORT,RO,13.8
2017,_T,PS,N,2017,SH_STA_MORT,RO,5.9
2018,_T,PS,N,2018,SH_STA_MORT,RO,16.7
2019,_T,PS,N,2019,SH_STA_MORT,RO,19.5
