Year,REF_AREA,TIME_DETAIL,SERIES,Value
2001,West Bank,2001,EG_EGY_CLEAN,98.8
2003,West Bank,2003,EG_EGY_CLEAN,97.6
2004,West Bank,2004,EG_EGY_CLEAN,98.6
2005,West Bank,2005,EG_EGY_CLEAN,98.0
2006,West Bank,2006,EG_EGY_CLEAN,96.2
2007,West Bank,2007,EG_EGY_CLEAN,98.2
2008,West Bank,2008,EG_EGY_CLEAN,98.6
2009,West Bank,2009,EG_EGY_CLEAN,99.1
2010,West Bank,2010,EG_EGY_CLEAN,98.9
2011,West Bank,2011,EG_EGY_CLEAN,99.0
2013,West Bank,2013,EG_EGY_CLEAN,99.8
2014,West Bank,2014,EG_EGY_CLEAN,99.2
2015,West Bank,2015,EG_EGY_CLEAN,99.1
2017,West Bank,2017,EG_EGY_CLEAN,99.6
2001,Gaza Strip,2001,EG_EGY_CLEAN,98.1
2003,Gaza Strip,2003,EG_EGY_CLEAN,98.2
2004,Gaza Strip,2004,EG_EGY_CLEAN,99.9
2005,Gaza Strip,2005,EG_EGY_CLEAN,98.7
2006,Gaza Strip,2006,EG_EGY_CLEAN,96.1
2007,Gaza Strip,2007,EG_EGY_CLEAN,98.6
2008,Gaza Strip,2008,EG_EGY_CLEAN,75.2
2009,Gaza Strip,2009,EG_EGY_CLEAN,99.6
2010,Gaza Strip,2010,EG_EGY_CLEAN,98.9
2011,Gaza Strip,2011,EG_EGY_CLEAN,93.5
2013,Gaza Strip,2013,EG_EGY_CLEAN,99.1
2014,Gaza Strip,2014,EG_EGY_CLEAN,96.0
2015,Gaza Strip,2015,EG_EGY_CLEAN,82.5
2017,Gaza Strip,2017,EG_EGY_CLEAN,98.8
2001,PS,2001,EG_EGY_CLEAN,98.6
2003,PS,2003,EG_EGY_CLEAN,97.8
2004,PS,2004,EG_EGY_CLEAN,99.0
2005,PS,2005,EG_EGY_CLEAN,98.2
2006,PS,2006,EG_EGY_CLEAN,96.1
2007,PS,2007,EG_EGY_CLEAN,98.3
2008,PS,2008,EG_EGY_CLEAN,90.7
2009,PS,2009,EG_EGY_CLEAN,99.3
2010,PS,2010,EG_EGY_CLEAN,98.9
2011,PS,2011,EG_EGY_CLEAN,97.2
2013,PS,2013,EG_EGY_CLEAN,99.6
2014,PS,2014,EG_EGY_CLEAN,97.9
2015,PS,2015,EG_EGY_CLEAN,93.4
2017,PS,2017,EG_EGY_CLEAN,99.2
2001,Jenin,2001,EG_EGY_CLEAN,
2003,Jenin,2003,EG_EGY_CLEAN,
2004,Jenin,2004,EG_EGY_CLEAN,
2005,Jenin,2005,EG_EGY_CLEAN,
2006,Jenin,2006,EG_EGY_CLEAN,
2007,Jenin,2007,EG_EGY_CLEAN,99.8
2008,Jenin,2008,EG_EGY_CLEAN,
2009,Jenin,2009,EG_EGY_CLEAN,
2010,Jenin,2010,EG_EGY_CLEAN,99.4
2011,Jenin,2011,EG_EGY_CLEAN,
2013,Jenin,2013,EG_EGY_CLEAN,
2014,Jenin,2014,EG_EGY_CLEAN,99.8
2015,Jenin,2015,EG_EGY_CLEAN,
2017,Jenin,2017,EG_EGY_CLEAN,99.8
2001,Tubas & Northern Valleys,2001,EG_EGY_CLEAN,
2003,Tubas & Northern Valleys,2003,EG_EGY_CLEAN,
2004,Tubas & Northern Valleys,2004,EG_EGY_CLEAN,
2005,Tubas & Northern Valleys,2005,EG_EGY_CLEAN,
2006,Tubas & Northern Valleys,2006,EG_EGY_CLEAN,
2007,Tubas & Northern Valleys,2007,EG_EGY_CLEAN,97.7
2008,Tubas & Northern Valleys,2008,EG_EGY_CLEAN,
2009,Tubas & Northern Valleys,2009,EG_EGY_CLEAN,
2010,Tubas & Northern Valleys,2010,EG_EGY_CLEAN,93.0
2011,Tubas & Northern Valleys,2011,EG_EGY_CLEAN,
2013,Tubas & Northern Valleys,2013,EG_EGY_CLEAN,
2014,Tubas & Northern Valleys,2014,EG_EGY_CLEAN,100.0
2015,Tubas & Northern Valleys,2015,EG_EGY_CLEAN,
2017,Tubas & Northern Valleys,2017,EG_EGY_CLEAN,99.5
2001,Tulkarm,2001,EG_EGY_CLEAN,
2003,Tulkarm,2003,EG_EGY_CLEAN,
2004,Tulkarm,2004,EG_EGY_CLEAN,
2005,Tulkarm,2005,EG_EGY_CLEAN,
2006,Tulkarm,2006,EG_EGY_CLEAN,
