Value,Disaggregation combinations using this value,Number of indicators
AG_FPA_COMM,5,1
AG_LND_FRST,168,1
AG_PRD_FIESMS,5,1
AG_PRD_ORTIND,126,1
BX_TRF_PWKR,20,1
DC_ODA_BDVDL,17,1
DC_TOF_HLTHL,19,1
DC_TOF_TRDCMDL,13,1
DC_TOF_WASHL,18,1
EG_ACS_ELEC,168,1
EG_EGY_CLEAN,266,1
EG_EGY_PRIM,18,1
EG_FEC_RNEW,17,1
EN_ATM_CO2,12,1
ER_MTN_GRNCOV,1,1
ER_PTD_FRHWTR,1,1
ER_PTD_MTN,1,1
ER_RSK_LST,1,1
FB_ATM_TOTL,12,1
FB_BNK_ACCSS,45,1
FC_ACC_SSID,2,1
GB_POP_SCIERD,1,1
GB_XPD_RSDV,1,1
GC_GOB_TAXD,20,1
GF_FRN_FDI,399,1
GF_XPD_GBPC,30,1
GR_G14_GDP,10,1
IC_FRM_BRIB,2,1
IC_GEN_MGTL,180,1
IT_MOB_2GNTWK,1,1
IT_MOB_OWN,72,1
IT_USE_II99,63,1
IU_COR_BRIB,108,1
IU_DMK_ICRS,36,1
NV_IND_MANF,60,1
NV_IND_SSIS,57,1
NV_IND_TECH,60,1
NY_GDP_PCAP,60,1
SE_ACS_ELECT,456,1
SE_ADT_EDUCTRN,12,1
SE_DEV_ONTRK,9,1
SE_PRE_PARTN,5,1
SE_TOT_PRFL,9,1
SG_DSR_SFDRR,4,2
SG_DSR_SILS,4,2
SG_GEN_LOCGELS,72,1
SG_HAZ_CMRBASEL,4,1
SG_INF_ACCSS,6,1
SG_INT_MBRDEV,40,2
SG_NHR_IMPL,5,1
SG_REG_BRTH,54,1
SG_REG_BRTH90,30,1
SG_SCP_CNTRY,2,1
SG_STT_FPOS,20,1
SG_STT_NSDSFDDNR,5,1
SG_XPD_HLTH,10,1
SH_ACS_DTP3,36,1
SH_DTH_NCD,12,1
SH_DYN_IMRT,54,1
SH_DYN_NMRT,63,1
SH_FPL_MTMM,12,1
SH_H2O_SAFE,228,1
SH_HAP_HBSAG,15,1
SH_HIV_INCD,15,1
SH_MED_DEN,5,1
SH_PRV_SMOK,45,1
SH_SAN_DEFECT,1292,1
SH_STA_BRTC,12,1
SH_STA_MALR,15,1
SH_STA_MORT,30,1
SH_STA_SCIDE,21,1
SH_STA_STNT,90,1
SH_STA_TRAF,45,1
SH_STA_WAST,18,1
SH_TBS_INCD,15,1
SH_XPD_EARN25,1,1
SI_HEI_TOTL,4,1
SI_POV_NMPI,3,1
SI_RMT_COST,1,1
SL_DOM_TSPD,4,1
SL_EMP_EARN,1368,1
SL_EMP_PCAP,54,1
SL_ISV_IFEM,81,1
SL_TLF_CHLDEC,684,1
SL_TLF_MANF,162,1
SL_TLF_NEET,162,1
SL_TLF_UEM,912,1
SP_DYN_ADKL,30,1
SP_DYN_MRBF15,152,1
SP_PSR_SATIS,9,1
ST_GDP_ZS,39,1
VC_DSR_GDPLS,12,1
VC_DSR_MISS,18,2
VC_IHR_PSRC,51,1
VC_PRR_PHYV,12,1
VC_PRS_UNSNT,180,1
VC_SNS_WALN,18,1
VC_VAW_MARR,18,1
VC_VAW_MTUHRA,18,1
VC_VAW_NONMARR,3,1
VC_VAW_PHYPYV,18,1
VC_VAW_SXVLN,36,1
VC_VOV_DCMN,72,2
VC_VOV_PHYL,12,1
